objectid,nuts318cd,nuts318nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,UKC11,Hartlepool and Stockton-on-Tees,444952,522016,-1.30587006,54.59135056,301455299.635984,108085.92550897
2,UKC12,South Teesside,461718,519597,-1.04694998,54.56784821,302770020.633207,86922.5209003509
3,UKC13,Darlington,428029,515649,-1.56834996,54.5353508,198812778.575975,91926.8427483629
4,UKC14,Durham CC,410381,532242,-1.8405,54.68513107,2233981862.105,263170.181259946
5,UKC21,Northumberland,395323,600699,-2.07521009,55.30036926,5029869562.22215,434271.74533958
6,UKC22,Tyneside,425849,561221,-1.59800994,54.94498825,406969290.503078,126653.017670156
7,UKC23,Sunderland,436470,551525,-1.43343997,54.85720062,136080078.840884,58710.2081903501
8,UKD11,West Cumbria,315410,516775,-3.30893993,54.53915024,2070779485.16569,342566.446637293
13,UKD36,Greater Manchester North West,364877,405611,-2.5315299,53.54595947,327036756.83126,100930.706688726
14,UKD37,Greater Manchester North East,388282,410213,-2.17847991,53.58837891,401002028.500768,125088.383136777
15,UKD41,Blackburn with Darwen,369490,422806,-2.46359992,53.70080185,139386373.178734,55099.1506909333
16,UKD42,Blackpool,332763,436633,-3.02284002,53.8216095,37309922.0138223,30685.0151087679
28,UKE11,"Kingston upon Hull, City of",511894,431716,-0.30379999,53.76979065,70877766.6369362,41041.0015651489
9,UKD12,East Cumbria,354557,530523,-2.70608997,54.66772079,4766412409.55345,472511.616844817
10,UKD33,Manchester,384591,397063,-2.23358989,53.47008896,111895371.755486,69389.334051984
11,UKD34,Greater Manchester South West,375708,394501,-2.36720991,53.44672012,205968280.408672,75029.3742954921
12,UKD35,Greater Manchester South East,393105,393399,-2.10524988,53.43732834,227695888.616069,78461.8748285769
17,UKD44,Lancaster and Wyre,352337,457241,-2.72874999,54.0089798,858017949.931852,216958.790328001
18,UKD45,Mid Lancashire,366310,440592,-2.51372004,53.86045837,1006461534.78498,223977.810620315
19,UKD46,East Lancashire,383267,430361,-2.2553401,53.76932907,488665108.172116,126074.429428944
20,UKD47,Chorley and West Lancashire,349233,413628,-2.76889992,53.61672974,550731380.395621,145131.332369951
21,UKD61,Warrington,362744,388456,-2.56167006,53.39162827,178743002.087576,71969.4943234974
22,UKD62,Cheshire East,380510,363462,-2.29298997,53.1679306,1168796059.34351,236392.416849492
23,UKD63,Cheshire West and Chester,353097,363145,-2.70298004,53.1633606,915323107.267957,209678.90286651
24,UKD71,East Merseyside,350326,393219,-2.74914002,53.43341064,303573661.991982,126910.343620231
25,UKD72,Liverpool,339361,390553,-2.91364002,53.40829849,113230782.987835,54752.8502076321
26,UKD73,Sefton,334264,398832,-2.99203992,53.48210144,154581371.744166,89509.4036300623
27,UKD74,Wirral,329242,386937,-3.06502008,53.37453842,156998638.438731,55622.466203179
29,UKE12,East Riding of Yorkshire,488051,443608,-0.66202998,53.88122177,2415969424.52969,335523.312045915
30,UKE13,North and North East Lincolnshire,497619,410092,-0.52709001,53.57836914,1036395529.38438,236834.423242919
31,UKE21,York,460864,452589,-1.07375002,53.96582031,275337365.083941,84229.8117646399
32,UKE22,North Yorkshire CC,429509,466515,-1.55032003,54.09371185,8054139792.89744,663841.352482278
33,UKE31,"Barnsley, Doncaster and Rotherham",451623,398663,-1.22355998,53.48218155,1183690135.56697,210509.311844932
34,UKE32,Sheffield,430511,389736,-1.54253995,53.40357971,366749529.080234,114173.75181078
35,UKE41,Bradford,408395,438626,-1.87389004,53.84381866,368386843.504377,113226.190294588
63,UKG39,Wolverhampton,391463,300016,-2.12746,52.59788132,69466620.3698013,41126.9608821924
36,UKE42,Leeds,432528,436384,-1.50735998,53.82273102,550578561.758795,133753.102842157
37,UKE44,Calderdale and Kirklees,411262,419585,-1.83099997,53.67263031,772924844.265563,140684.778876578
