Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DN10 4AA,Yes,53.445098,-0.849429,476517,394875,SK765948,1/1/1980 12:00:00 AM,,12,37,18,"Gainsborough Central",7.3,"Misterton",""
DN10 4AB,Yes,53.445594,-0.85053,476443,394929,SK764949,1/1/1980 12:00:00 AM,,11,24,11,"Gainsborough Central",7.4,"Misterton",""
DN10 4AD,Yes,53.446341,-0.849652,476500,395013,SK764950,1/1/1980 12:00:00 AM,,12,28,13,"Gainsborough Central",7.4,"Misterton",""
DN10 4AE,No,53.44534,-0.851184,476400,394900,SK764948,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,10,,,"Gainsborough Central",7.4,"Misterton",""
DN10 4AF,Yes,53.446568,-0.85088,476418,395037,SK764950,1/1/1980 12:00:00 AM,,11,15,8,"Gainsborough Central",7.5,"Misterton",""
DN10 4AG,No,53.446742,-0.85211,476336,395055,SK763950,1/1/1980 12:00:00 AM,11/1/2000 12:00:00 AM,9,,,"Gainsborough Central",7.6,"Misterton",""
DN10 4AH,Yes,53.444876,-0.850595,476440,394849,SK764948,1/1/1980 12:00:00 AM,,12,6,2,"Gainsborough Central",7.4,"Misterton",""
DN10 4AJ,Yes,53.444057,-0.852438,476319,394756,SK763947,1/1/1980 12:00:00 AM,,9,17,8,"Gainsborough Central",7.4,"Misterton",""
DN10 4AL,Yes,53.443814,-0.851451,476385,394730,SK763947,1/1/1980 12:00:00 AM,,12,16,6,"Gainsborough Central",7.3,"Misterton",""
DN10 4AN,Yes,53.443137,-0.85302,476282,394653,SK762946,1/1/1980 12:00:00 AM,,9,27,13,"Gainsborough Central",7.3,"Misterton",""
DN10 4AP,Yes,53.441153,-0.855182,476142,394430,SK761944,1/1/1980 12:00:00 AM,,10,53,20,"Gainsborough Central",7.3,"Misterton",""
DN10 4AQ,Yes,53.445921,-0.851786,476359,394964,SK763949,1/1/1980 12:00:00 AM,,9,50,17,"Gainsborough Central",7.5,"Misterton",""
DN10 4AR,Yes,53.43544,-0.863738,475584,393785,SK755937,1/1/1980 12:00:00 AM,,24,9,4,"Gainsborough Central",7.4,"",""
DN10 4AS,Yes,53.444092,-0.854169,476204,394758,SK762947,1/1/1980 12:00:00 AM,,7,14,8,"Gainsborough Central",7.5,"Misterton",""
DN10 4AT,Yes,53.443028,-0.856667,476040,394637,SK760946,1/1/1980 12:00:00 AM,,6,8,4,"Gainsborough Central",7.5,"Misterton",""
DN10 4AU,Yes,53.441441,-0.866556,475386,394450,SK753944,1/1/1980 12:00:00 AM,,3,4,1,"Gainsborough Central",7.9,"",""
DN10 4AW,Yes,53.442237,-0.852021,476350,394554,SK763945,1/1/1980 12:00:00 AM,,12,51,24,"Gainsborough Central",7.2,"Misterton",""
DN10 4AX,Yes,53.443711,-0.883207,474276,394685,SK742946,1/1/1980 12:00:00 AM,,5,6,3,"Gainsborough Central",9.0,"",""
DN10 4AY,Yes,53.447912,-0.859445,475847,395177,SK758951,1/1/1980 12:00:00 AM,,5,3,2,"Gainsborough Central",8.0,"",""
DN10 4AZ,Yes,53.456009,-0.897915,473278,396038,SK732960,1/1/1980 12:00:00 AM,,6,7,2,"Gainsborough Central",10.6,"",""
DN10 4BA,Yes,53.457248,-0.849056,476520,396227,SK765962,1/1/1980 12:00:00 AM,,6,21,6,"Gainsborough Central",8.3,"",""
DN10 4BB,Yes,53.45397,-0.8355,477426,395877,SK774958,1/1/1980 12:00:00 AM,,4,1,1,"Gainsborough Central",7.5,"",""
DN10 4BD,Yes,53.450315,-0.82387,478205,395483,SK782954,1/1/1980 12:00:00 AM,,3,23,10,"Gainsborough Central",6.7,"",""
DN10 4BF,Yes,53.447327,-0.849444,476512,395123,SK765951,8/1/1992 12:00:00 AM,,11,29,12,"Gainsborough Central",7.5,"Misterton",""
DN10 4BG,Yes,53.444048,-0.855179,476137,394752,SK761947,1/1/1980 12:00:00 AM,,7,12,5,"Gainsborough Central",7.5,"Misterton",""
DN10 4BH,Yes,53.44394,-0.854279,476197,394741,SK761947,1/1/1980 12:00:00 AM,,8,8,4,"Gainsborough Central",7.5,"Misterton",""
DN10 4BJ,Yes,53.443386,-0.849927,476487,394684,SK764946,7/1/1990 12:00:00 AM,,11,20,9,"Gainsborough Central",7.2,"Misterton",""
DN10 4BL,Yes,53.443217,-0.850173,476471,394665,SK764946,7/1/1990 12:00:00 AM,,11,81,32,"Gainsborough Central",7.2,"Misterton",""
DN10 4BN,Yes,53.442535,-0.85114,476408,394588,SK764945,7/1/1990 12:00:00 AM,,12,19,6,"Gainsborough Central",7.2,"Misterton",""
DN10 4BP,Yes,53.442103,-0.850203,476471,394541,SK764945,7/1/1990 12:00:00 AM,,11,43,13,"Gainsborough Central",7.1,"Misterton",""
DN10 4BQ,No,53.443571,-0.854243,476200,394700,SK762946,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,8,,,"Gainsborough Central",7.4,"Misterton",""
DN10 4BS,No,53.44173,-0.849776,476500,394500,SK765944,7/1/1990 12:00:00 AM,12/1/1997 12:00:00 AM,10,,,"Gainsborough Central",7.1,"Misterton",""
DN10 4BT,Yes,53.442851,-0.848199,476603,394626,SK766946,7/1/1990 12:00:00 AM,,13,4,2,"Gainsborough Central",7.1,"Misterton",""
DN10 4BU,Yes,53.443426,-0.846629,476706,394692,SK767946,1/1/1980 12:00:00 AM,,13,90,32,"Gainsborough Central",7.0,"Misterton",""
DN10 4BW,Yes,53.423124,-0.841475,477085,392439,SK770924,1/1/1993 12:00:00 AM,,15,14,8,"Gainsborough Central",5.4,"Walkeringham",""
DN10 4BX,Yes,53.442459,-0.846083,476744,394585,SK767945,1/1/1980 12:00:00 AM,,13,6,3,"Gainsborough Central",6.9,"Misterton",""
DN10 4BY,Yes,53.44308,-0.843326,476926,394657,SK769946,1/1/1980 12:00:00 AM,,14,69,28,"Gainsborough Central",6.9,"Misterton",""
DN10 4BZ,Yes,53.442475,-0.842183,477003,394591,SK770945,1/1/1980 12:00:00 AM,,13,78,39,"Gainsborough Central",6.8,"Misterton",""
DN10 4DA,Yes,53.442941,-0.840183,477135,394645,SK771946,1/1/1980 12:00:00 AM,,13,19,15,"Gainsborough Central",6.7,"Misterton",""
DN10 4DB,Yes,53.444158,-0.839608,477171,394781,SK771947,1/1/1980 12:00:00 AM,,13,77,28,"Gainsborough Central",6.8,"Misterton",""
DN10 4DD,Yes,53.445061,-0.839722,477162,394881,SK771948,7/1/2002 12:00:00 AM,,11,,,"Gainsborough Central",6.9,"Misterton",""
DN10 4DE,Yes,53.443873,-0.838968,477214,394750,SK772947,1/1/1980 12:00:00 AM,,13,71,27,"Gainsborough Central",6.7,"Misterton",""
DN10 4DF,Yes,53.442673,-0.837556,477310,394618,SK773946,1/1/1980 12:00:00 AM,,12,10,4,"Gainsborough Central",6.6,"Misterton",""
DN10 4DG,Yes,53.443554,-0.835725,477430,394718,SK774947,1/1/1980 12:00:00 AM,,11,35,9,"Gainsborough Central",6.6,"Misterton",""
DN10 4DH,Yes,53.441846,-0.833829,477559,394530,SK775945,1/1/1980 12:00:00 AM,,9,55,26,"Gainsborough Central",6.3,"Misterton",""
DN10 4DJ,Yes,53.442087,-0.833717,477566,394557,SK775945,1/1/1980 12:00:00 AM,,9,27,11,"Gainsborough Central",6.3,"Misterton",""
DN10 4DL,Yes,53.438331,-0.831746,477704,394141,SK777941,1/1/1980 12:00:00 AM,,6,88,36,"Gainsborough Central",6.0,"",""
DN10 4DN,No,53.436679,-0.830418,477795,393959,SK777939,1/1/1980 12:00:00 AM,8/1/2004 12:00:00 AM,8,,,"Gainsborough Central",5.8,"",""
DN10 4DP,Yes,53.435496,-0.82893,477896,393829,SK778938,1/1/1980 12:00:00 AM,,8,78,35,"Gainsborough Central",5.6,"",""
DN10 4DQ,Yes,53.445037,-0.832601,477635,394886,SK776948,1/1/1980 12:00:00 AM,,8,13,8,"Gainsborough Central",6.5,"",""
DN10 4DR,Yes,53.443193,-0.847614,476641,394665,SK766946,7/1/1990 12:00:00 AM,,13,26,8,"Gainsborough Central",7.1,"Misterton",""
DN10 4DS,No,53.442615,-0.848247,476600,394600,SK765945,9/1/1991 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,"Gainsborough Central",7.1,"Misterton",""
DN10 4DT,Yes,53.446876,-0.851128,476401,395071,SK764950,6/1/2002 12:00:00 AM,,11,17,4,"Gainsborough Central",7.5,"Misterton",""
DN10 4DU,Yes,53.443306,-0.849116,476541,394676,SK765946,7/1/2007 12:00:00 AM,,12,12,5,"Gainsborough Central",7.2,"Misterton",""
DN10 4DW,Yes,53.440241,-0.83154,477714,394354,SK777943,1/1/1980 12:00:00 AM,,7,28,12,"Gainsborough Central",6.1,"",""
DN10 4DX,Yes,53.43556,-0.829922,477830,393835,SK778938,5/1/2005 12:00:00 AM,,8,40,17,"Gainsborough Central",5.6,"",""
DN10 4DY,Yes,53.435142,-0.830088,477820,393788,SK778937,9/1/2007 12:00:00 AM,,8,30,12,"Gainsborough Central",5.6,"",""
DN10 4DZ,Yes,53.442472,-0.836327,477392,394597,SK773945,1/1/2003 12:00:00 AM,,11,9,4,"Gainsborough Central",6.5,"Misterton",""
DN10 4EA,Yes,53.441727,-0.8494,476525,394500,SK765944,5/1/2005 12:00:00 AM,,10,28,9,"Gainsborough Central",7.1,"Misterton",""
DN10 4EB,Yes,53.442197,-0.844073,476878,394558,SK768945,9/1/2006 12:00:00 AM,,14,3,3,"Gainsborough Central",6.8,"Misterton",""
DN10 4ED,No,53.437194,-0.820559,478449,394027,SK784940,9/1/2007 12:00:00 AM,2/1/2018 12:00:00 AM,8,,,"Gainsborough Central",5.4,"",""
DN10 4EE,Yes,53.441522,-0.844979,476819,394482,SK768944,1/1/1980 12:00:00 AM,,14,37,16,"Gainsborough Central",6.8,"Misterton",""
DN10 4EF,Yes,53.438784,-0.843503,476922,394179,SK769941,1/1/1980 12:00:00 AM,,15,111,46,"Gainsborough Central",6.5,"Misterton",""
DN10 4EG,Yes,53.439541,-0.845469,476790,394261,SK767942,1/1/1980 12:00:00 AM,,17,20,10,"Gainsborough Central",6.7,"Misterton",""
DN10 4EH,Yes,53.435537,-0.842326,477006,393819,SK770938,1/1/1980 12:00:00 AM,,21,18,7,"Gainsborough Central",6.3,"Misterton",""
DN10 4EJ,Yes,53.435464,-0.840402,477134,393813,SK771938,1/1/1980 12:00:00 AM,,17,42,19,"Gainsborough Central",6.2,"Misterton",""
DN10 4EL,Yes,53.436294,-0.838859,477235,393907,SK772939,1/1/1980 12:00:00 AM,,12,34,20,"Gainsborough Central",6.1,"Misterton",""
DN10 4EN,Yes,53.437127,-0.840356,477134,393998,SK771939,1/1/1980 12:00:00 AM,,13,59,29,"Gainsborough Central",6.3,"Misterton",""
DN10 4EP,Yes,53.437044,-0.838947,477228,393990,SK772939,1/1/1980 12:00:00 AM,,11,4,2,"Gainsborough Central",6.2,"Misterton",""
DN10 4EQ,Yes,53.436334,-0.841085,477087,393909,SK770939,1/1/1980 12:00:00 AM,,17,90,36,"Gainsborough Central",6.2,"Misterton",""
DN10 4ER,Yes,53.436081,-0.836305,477405,393886,SK774938,1/1/1980 12:00:00 AM,,8,67,25,"Gainsborough Central",6.0,"Misterton",""
DN10 4ES,Yes,53.438644,-0.82356,478247,394185,SK782941,1/1/1980 12:00:00 AM,,6,21,11,"Gainsborough Central",5.6,"",""
DN10 4ET,Yes,53.443179,-0.815831,478752,394698,SK787946,1/1/1980 12:00:00 AM,,6,57,22,"Gainsborough Central",5.7,"West Stockwith",""
DN10 4EU,Yes,53.443242,-0.814971,478809,394706,SK788947,1/1/1980 12:00:00 AM,,6,8,5,"Gainsborough Central",5.7,"West Stockwith",""
DN10 4EW,Yes,53.437616,-0.839786,477171,394053,SK771940,1/1/1980 12:00:00 AM,,12,47,24,"Gainsborough Central",6.3,"Misterton",""
DN10 4EX,Yes,53.44333,-0.812936,478944,394718,SK789947,1/1/1980 12:00:00 AM,,6,7,4,"Gainsborough Central",5.6,"West Stockwith",""
DN10 4EY,Yes,53.443708,-0.8118,479019,394761,SK790947,1/1/1980 12:00:00 AM,,6,19,8,"Gainsborough Central",5.6,"West Stockwith",""
DN10 4EZ,Yes,53.444612,-0.812287,478985,394861,SK789948,1/1/1980 12:00:00 AM,,6,16,5,"Gainsborough Central",5.7,"",""
DN10 4FA,Yes,53.438508,-0.832298,477667,394160,SK776941,9/1/2015 12:00:00 AM,,2,,,"Gainsborough Central",6.0,"",""
DN10 4FB,Yes,53.403375,-0.833137,477675,390251,SK776902,12/1/2000 12:00:00 AM,,19,9,4,"Gainsborough Central",4.2,"Beckingham",""
DN10 4FD,Yes,53.403397,-0.832685,477705,390254,SK777902,6/1/2000 12:00:00 AM,,19,7,3,"Gainsborough Central",4.2,"Beckingham",""
DN10 4FE,Yes,53.445907,-0.850326,476456,394964,SK764949,1/1/2003 12:00:00 AM,,12,17,5,"Gainsborough Central",7.4,"Misterton",""
DN10 4FF,Yes,53.398758,-0.825307,478204,389746,SK782897,8/1/2011 12:00:00 AM,,16,,,"Gainsborough Central",3.7,"Beckingham",""
DN10 4FG,Yes,53.443248,-0.833821,477557,394686,SK775946,9/1/2014 12:00:00 AM,,10,,,"Gainsborough Central",6.4,"Misterton",""
DN10 4FH,Yes,53.441327,-0.844307,476864,394461,SK768944,5/1/2007 12:00:00 AM,,14,6,4,"Gainsborough Central",6.8,"Misterton",""
DN10 4FJ,No,53.44119,-0.844115,476877,394446,SK768944,3/1/2013 12:00:00 AM,5/1/2013 12:00:00 AM,14,,,"Gainsborough Central",6.8,"Misterton",""
DN10 4FL,Yes,53.441045,-0.843938,476889,394430,SK768944,5/1/2009 12:00:00 AM,,14,13,5,"Gainsborough Central",6.7,"Misterton",""
DN10 4FN,Yes,53.440588,-0.855908,476095,394366,SK760943,6/1/2009 12:00:00 AM,,12,,,"Gainsborough Central",7.3,"Misterton",""
DN10 4FP,Yes,53.443147,-0.839124,477205,394669,SK772946,3/1/2011 12:00:00 AM,,13,,,"Gainsborough Central",6.7,"Misterton",""
DN10 4FQ,Yes,53.40925,-0.899981,473221,390834,SK732908,8/1/2011 12:00:00 AM,,57,,,"Gainsborough Central",8.7,"",""
DN10 4FR,Yes,53.441892,-0.835815,477427,394533,SK774945,3/1/2013 12:00:00 AM,,10,,,"Gainsborough Central",6.4,"Misterton",""
DN10 4FS,Yes,53.397802,-0.824972,478228,389640,SK782896,2/1/2014 12:00:00 AM,,17,,,"Gainsborough Central",3.7,"Beckingham",""
DN10 4GA,Yes,53.445046,-0.851478,476381,394867,SK763948,6/1/2008 12:00:00 AM,,10,6,3,"Gainsborough Central",7.4,"Misterton",""
DN10 4HA,Yes,53.445261,-0.809163,479191,394937,SK791949,1/1/1980 12:00:00 AM,,7,70,28,"Gainsborough Central",5.7,"West Stockwith",""
DN10 4HB,Yes,53.445723,-0.808669,479223,394989,SK792949,1/1/1980 12:00:00 AM,,7,78,32,"Gainsborough Central",5.7,"West Stockwith",""
