Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
B10 0AA,No,52.470072,-1.876301,408500,285800,SP085857,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,120,,,"Birmingham Bordesley",0.2,"West Midlands","Birmingham"
B10 0AD,Yes,52.469143,-1.873713,408676,285697,SP086856,1/1/1980 12:00:00 AM,,118,,,"Birmingham Bordesley",0.4,"West Midlands","Birmingham"
B10 0AP,No,52.465562,-1.863067,409400,285300,SP093852,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,118,,,"Small Heath",0.3,"West Midlands","Birmingham"
B10 0AS,No,52.465562,-1.863067,409400,285300,SP093852,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,118,,,"Small Heath",0.3,"West Midlands","Birmingham"
B10 0AT,No,52.465562,-1.863067,409400,285300,SP093852,8/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,118,,,"Small Heath",0.3,"West Midlands","Birmingham"
B10 0DR,No,52.461965,-1.861606,409500,284900,SP095848,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,119,,,"Small Heath",0.2,"West Midlands","Birmingham"
B10 0DS,No,52.461965,-1.861606,409500,284900,SP095848,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,119,,,"Small Heath",0.2,"West Midlands","Birmingham"
B10 0DU,No,52.461965,-1.861606,409500,284900,SP095848,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,119,,,"Small Heath",0.2,"West Midlands","Birmingham"
B11 1AA,Yes,52.459539,-1.871415,408834,284629,SP088846,1/1/1980 12:00:00 AM,,121,33,7,"Small Heath",0.9,"West Midlands","Birmingham"
B11 1AB,Yes,52.462608,-1.87463,408615,284970,SP086849,1/1/1980 12:00:00 AM,,123,47,15,"Small Heath",1.0,"West Midlands","Birmingham"
