Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
M10 0EG,No,53.520475,-2.173846,388571,402659,SD885026,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,101,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0EJ,No,53.519416,-2.17903,388227,402542,SD882025,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,100,,,"Moston",0.7,"Greater Manchester","Manchester"
M10 0EL,No,53.518526,-2.17877,388244,402443,SD882024,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,98,,,"Moston",0.7,"Greater Manchester","Manchester"
M10 0EN,No,53.519005,-2.177324,388340,402496,SD883024,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,98,,,"Moston",0.6,"Greater Manchester","Manchester"
M10 0EP,No,53.520333,-2.17276,388643,402643,SD886026,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,101,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0EQ,No,53.522235,-2.17509,388489,402855,SD884028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,107,,,"Moston",0.3,"Greater Manchester","Manchester"
M10 0ER,No,53.520842,-2.174919,388500,402700,SD885026,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,102,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0ES,No,53.519341,-2.175033,388492,402533,SD884025,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,99,,,"Moston",0.5,"Greater Manchester","Manchester"
M10 0EW,No,53.51817,-2.176341,388405,402403,SD884024,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,97,,,"Moston",0.7,"Greater Manchester","Manchester"
M10 0EX,No,53.518146,-2.174908,388500,402400,SD884023,4/1/1985 12:00:00 AM,12/1/1985 12:00:00 AM,98,,,"Moston",0.6,"Greater Manchester","Manchester"
M10 0FG,No,53.51945,-2.174234,388545,402545,SD885025,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,99,,,"Moston",0.5,"Greater Manchester","Manchester"
M10 0FL,No,53.519192,-2.178215,388281,402517,SD882025,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,98,,,"Moston",0.7,"Greater Manchester","Manchester"
M10 0FN,No,53.518839,-2.173855,388570,402477,SD885024,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,98,,,"Moston",0.5,"Greater Manchester","Manchester"
M10 0FP,No,53.521673,-2.172253,388677,402792,SD886027,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,103,,,"Moston",0.2,"Greater Manchester","Manchester"
M10 0FQ,No,53.519989,-2.174071,388556,402605,SD885026,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,99,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0FR,No,53.519216,-2.174203,388547,402519,SD885025,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,99,,,"Moston",0.5,"Greater Manchester","Manchester"
M10 0FS,No,53.518514,-2.175196,388481,402441,SD884024,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,98,,,"Moston",0.6,"Greater Manchester","Manchester"
M10 0FW,No,53.519946,-2.173347,388604,402600,SD886025,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,100,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0HA,No,53.524139,-2.176139,388420,403067,SD884030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,111,,,"Moston",0.3,"Greater Manchester","Manchester"
M10 0HB,No,53.524023,-2.175792,388443,403054,SD884030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,111,,,"Moston",0.3,"Greater Manchester","Manchester"
M10 0HD,No,53.523987,-2.175309,388475,403050,SD884030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,111,,,"Moston",0.3,"Greater Manchester","Manchester"
