Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
NE22 5RY,Yes,55.126668,-1.582806,426702,581445,NZ267814,1/1/1980 12:00:00 AM,,26,2,1,"Cramlington",4.4,"",""
NE22 6AF,No,55.114483,-1.554745,428500,580100,NZ285800,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,25,,,"Cramlington",4.1,"",""
NE23 0AA,No,55.088639,-1.598868,425702,577207,NZ257772,8/1/2011 12:00:00 AM,7/1/2012 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AJ,No,55.088639,-1.598868,425702,577207,NZ257772,4/1/2009 12:00:00 AM,5/1/2012 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AN,No,55.088639,-1.598868,425702,577207,NZ257772,3/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AP,No,55.088639,-1.598868,425702,577207,NZ257772,2/1/2010 12:00:00 AM,2/1/2012 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AS,No,55.088639,-1.598868,425702,577207,NZ257772,10/1/2010 12:00:00 AM,11/1/2012 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AT,No,55.088639,-1.598868,425702,577207,NZ257772,10/1/2010 12:00:00 AM,12/1/2012 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AU,No,55.088639,-1.598868,425702,577207,NZ257772,5/1/2012 12:00:00 AM,4/1/2014 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AW,No,55.088639,-1.598868,425702,577207,NZ257772,6/1/2012 12:00:00 AM,1/1/2013 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AX,No,55.088639,-1.598868,425702,577207,NZ257772,10/1/2012 12:00:00 AM,10/1/2015 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AY,No,55.088639,-1.598868,425702,577207,NZ257772,1/1/2013 12:00:00 AM,2/1/2014 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0AZ,No,55.088639,-1.598868,425702,577207,NZ257772,1/1/2013 12:00:00 AM,2/1/2014 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BA,No,55.088639,-1.598868,425702,577207,NZ257772,4/1/2013 12:00:00 AM,5/1/2013 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BB,No,55.088639,-1.598868,425702,577207,NZ257772,7/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BD,No,55.088639,-1.598868,425702,577207,NZ257772,7/1/2013 12:00:00 AM,8/1/2014 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BE,No,55.088639,-1.598868,425702,577207,NZ257772,12/1/2013 12:00:00 AM,1/1/2015 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BF,No,55.088645,-1.598883,425701,577207,NZ257772,2/1/2017 12:00:00 AM,10/1/2017 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BG,Yes,55.088639,-1.598868,425702,577207,NZ257772,5/1/2015 12:00:00 AM,,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BH,No,55.088639,-1.598868,425702,577207,NZ257772,7/1/2015 12:00:00 AM,2/1/2016 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BJ,No,55.088639,-1.598868,425702,577207,NZ257772,4/1/2016 12:00:00 AM,4/1/2018 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BL,Yes,55.088639,-1.598868,425702,577207,NZ257772,6/1/2016 12:00:00 AM,,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BN,No,55.088645,-1.598883,425701,577207,NZ257772,10/1/2016 12:00:00 AM,5/1/2017 12:00:00 AM,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
NE23 0BP,Yes,55.088645,-1.598883,425701,577207,NZ257772,9/1/2017 12:00:00 AM,,68,,,"Cramlington",0.1,"Cramlington","Cramlington"
