Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DE1 5PT,No,53.146101,-1.33763,444400,361200,SK444611,7/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,182,,,"Alfreton",5.5,"Tibshelf",""
DE5 5LN,No,53.141673,-1.346444,443815,360702,SK438607,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,163,,,"Alfreton",4.8,"Tibshelf",""
DE5 5LP,No,53.14272,-1.345591,443871,360819,SK438608,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,167,,,"Alfreton",5.0,"Tibshelf",""
DE5 5LQ,No,53.141733,-1.347534,443742,360708,SK437607,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,159,,,"Alfreton",4.8,"Tibshelf",""
DE5 5LR,No,53.143361,-1.346194,443830,360890,SK438608,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,162,,,"Alfreton",5.0,"Tibshelf",""
DE5 5LS,No,53.14271,-1.348701,443663,360816,SK436608,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,154,,,"Alfreton",4.9,"Tibshelf",""
DE5 5LT,No,53.143986,-1.347037,443773,360959,SK437609,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,156,,,"Alfreton",5.1,"Tibshelf",""
DE5 5LU,No,53.142453,-1.347778,443725,360788,SK437607,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,158,,,"Alfreton",4.9,"Tibshelf",""
DE5 5LW,No,53.140025,-1.349205,443632,360517,SK436605,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,154,,,"Alfreton",4.6,"Tibshelf",""
DE5 5LX,No,53.140246,-1.350098,443572,360541,SK435605,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,149,,,"Alfreton",4.6,"Tibshelf",""
