Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DN10 4WH,No,53.431497,-1.018646,465299,393194,SK652931,4/1/2013 12:00:00 AM,4/1/2014 12:00:00 AM,12,,,"Doncaster",12.9,"Bawtry","Bawtry"
DN10 4WJ,No,53.431497,-1.018646,465299,393194,SK652931,10/1/2011 12:00:00 AM,10/1/2012 12:00:00 AM,12,,,"Doncaster",12.9,"Bawtry","Bawtry"
DN10 4WL,No,53.431497,-1.018646,465299,393194,SK652931,6/1/2009 12:00:00 AM,1/1/2013 12:00:00 AM,12,,,"Doncaster",12.9,"Bawtry","Bawtry"
DN10 4WX,No,53.431497,-1.018646,465299,393194,SK652931,2/1/2004 12:00:00 AM,5/1/2012 12:00:00 AM,12,,,"Doncaster",12.9,"Bawtry","Bawtry"
DN10 5XA,No,53.431497,-1.018646,465299,393194,SK652931,12/1/1999 12:00:00 AM,5/1/2008 12:00:00 AM,12,,,"Doncaster",12.9,"Bawtry","Bawtry"
DN10 6AA,Yes,53.425369,-1.024116,464945,392507,SK649925,1/1/1980 12:00:00 AM,,20,4,2,"Doncaster",13.2,"",""
DN10 6BF,Yes,53.431004,-1.019906,465216,393138,SK652931,9/1/2014 12:00:00 AM,,13,,,"Doncaster",12.9,"Bawtry","Bawtry"
DN10 6BX,Yes,53.449049,-1.004917,466184,395159,SK661951,9/1/2014 12:00:00 AM,,11,,,"Doncaster",12.1,"Bawtry","Austerfield"
DN10 6DA,Yes,53.441025,-1.044065,463596,394231,SK635942,1/1/1980 12:00:00 AM,,34,6,3,"Doncaster",11.0,"",""
DN10 6DB,Yes,53.451635,-1.047892,463326,395408,SK633954,1/1/1980 12:00:00 AM,,33,14,5,"Doncaster",9.9,"",""
DN10 6DD,Yes,53.442837,-1.032416,464367,394443,SK643944,1/1/1980 12:00:00 AM,,32,6,3,"Doncaster",11.3,"",""
DN10 6DE,Yes,53.45773,-1.031959,464375,396100,SK643961,1/1/1980 12:00:00 AM,,30,4,3,"Doncaster",10.1,"",""
DN10 6DF,Yes,53.452668,-1.026546,464742,395542,SK647955,1/1/1980 12:00:00 AM,,20,38,15,"Doncaster",10.8,"",""
DN10 6DG,Yes,53.453758,-1.025783,464791,395664,SK647956,1/1/1980 12:00:00 AM,,19,,,"Doncaster",10.7,"",""
DN10 6DH,Yes,53.437949,-1.003202,466315,393926,SK663939,1/1/1980 12:00:00 AM,,7,15,8,"Doncaster",13.0,"Bawtry","Austerfield"
DN10 6DQ,Yes,53.449208,-1.019866,465191,395163,SK651951,1/1/1980 12:00:00 AM,,17,6,2,"Doncaster",11.3,"",""
