Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DY1 1AA,No,52.511888,-2.088439,394095,290448,SO940904,2/1/1990 12:00:00 AM,12/1/1999 12:00:00 AM,199,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1AD,No,52.511888,-2.088439,394095,290448,SO940904,4/1/1987 12:00:00 AM,12/1/1999 12:00:00 AM,199,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1AE,Yes,52.511498,-2.088889,394064,290404,SO940904,4/1/1987 12:00:00 AM,,201,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1AF,Yes,52.512474,-2.082702,394484,290512,SO944905,1/1/2013 12:00:00 AM,,200,,,"Tipton",2.3,"West Midlands","Dudley (Dudley)"
DY1 1AG,Yes,52.51248,-2.086475,394228,290513,SO942905,12/1/2016 12:00:00 AM,,201,,,"Tipton",2.4,"West Midlands","Dudley (Dudley)"
DY1 1AH,Yes,52.512238,-2.086165,394249,290486,SO942904,3/1/2017 12:00:00 AM,,198,,,"Tipton",2.5,"West Midlands","Dudley (Dudley)"
DY1 1BB,No,52.511636,-2.089189,394044,290420,SO940904,6/1/1998 12:00:00 AM,2/1/2006 12:00:00 AM,201,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1BF,No,52.511456,-2.089837,394000,290400,SO940903,6/1/1998 12:00:00 AM,12/1/1998 12:00:00 AM,203,,,"Tipton",2.7,"West Midlands","Dudley (Dudley)"
DY1 1DA,Yes,52.509946,-2.084377,394370,290231,SO943902,1/1/1980 12:00:00 AM,,208,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1DB,Yes,52.510179,-2.085792,394274,290257,SO942902,1/1/1980 12:00:00 AM,,208,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1DD,No,52.509661,-2.085414,394300,290200,SO942901,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,209,,,"Tipton",2.7,"West Midlands","Dudley (Dudley)"
DY1 1DF,No,52.509661,-2.085414,394300,290200,SO942901,2/1/1984 12:00:00 AM,12/1/1984 12:00:00 AM,209,,,"Tipton",2.7,"West Midlands","Dudley (Dudley)"
DY1 1DG,No,52.509661,-2.085414,394300,290200,SO942901,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,209,,,"Tipton",2.7,"West Midlands","Dudley (Dudley)"
DY1 1DH,No,52.50966,-2.086887,394200,290200,SO942901,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,212,,,"Tipton",2.7,"West Midlands","Dudley (Dudley)"
DY1 1DJ,No,52.510362,-2.08624,394244,290278,SO942902,1/1/1980 12:00:00 AM,1/1/2007 12:00:00 AM,207,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1DL,No,52.510362,-2.08624,394244,290278,SO942902,9/1/1991 12:00:00 AM,5/1/2010 12:00:00 AM,207,,,"Tipton",2.6,"West Midlands","Dudley (Dudley)"
DY1 1DP,No,52.50966,-2.086887,394200,290200,SO942901,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,212,,,"Tipton",2.7,"West Midlands","Dudley (Dudley)"
