Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
NE10 0AG,Yes,54.954762,-1.545019,429236,562330,NZ292623,1/1/2004 12:00:00 AM,,52,8,3,"Heworth",0.8,"Tyneside","Gateshead"
NE10 0AZ,Yes,54.953792,-1.559833,428288,562216,NZ282622,4/1/2005 12:00:00 AM,,39,,,"Heworth",0.4,"Tyneside","Gateshead"
NE10 0BE,Yes,54.95347,-1.540724,429512,562188,NZ295621,7/1/2006 12:00:00 AM,,47,36,15,"Heworth",1.0,"Tyneside","Gateshead"
NE10 0BF,Yes,54.953864,-1.540361,429535,562232,NZ295622,5/1/2005 12:00:00 AM,,46,103,59,"Heworth",1.0,"Tyneside","Gateshead"
NE10 0BG,Yes,54.954203,-1.539638,429581,562270,NZ295622,1/1/2006 12:00:00 AM,,45,111,54,"Heworth",1.1,"Tyneside","Gateshead"
NE10 0HH,No,54.957242,-1.559607,428300,562600,NZ283625,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,29,,,"Heworth",0.7,"Tyneside","Gateshead"
NE10 0HW,Yes,54.954406,-1.536404,429788,562294,NZ297622,7/1/1986 12:00:00 AM,,47,,,"Heworth",1.3,"Tyneside","Gateshead"
NE10 0JG,No,54.954606,-1.558871,428349,562307,NZ283623,12/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,38,,,"Heworth",0.4,"Tyneside","Gateshead"
NE10 0JY,Yes,54.957039,-1.558064,428399,562578,NZ283625,1/1/1980 12:00:00 AM,,28,,,"Heworth",0.6,"Tyneside","Gateshead"
NE10 0LB,No,54.954406,-1.536404,429788,562294,NZ297622,12/1/1999 12:00:00 AM,7/1/2004 12:00:00 AM,47,,,"Heworth",1.3,"Tyneside","Gateshead"
NE10 0LT,No,54.954203,-1.556611,428494,562263,NZ284622,1/1/1980 12:00:00 AM,7/1/2008 12:00:00 AM,42,,,"Heworth",0.3,"Tyneside","Gateshead"
NE10 0PA,Yes,54.950401,-1.55459,428626,561840,NZ286618,1/1/1980 12:00:00 AM,,53,5,2,"Heworth",0.1,"Tyneside","Gateshead"
NE10 0PB,Yes,54.948517,-1.554754,428617,561631,NZ286616,1/1/1980 12:00:00 AM,,57,48,18,"Heworth",0.3,"Tyneside","Gateshead"
NE10 0PD,Yes,54.946916,-1.551961,428797,561454,NZ287614,1/1/1980 12:00:00 AM,,61,56,25,"Heworth",0.6,"Tyneside","Gateshead"
NE10 0PT,Yes,54.947625,-1.55186,428803,561533,NZ288615,1/1/1980 12:00:00 AM,,59,,,"Heworth",0.5,"Tyneside","Gateshead"
NE10 0QD,Yes,54.953311,-1.544362,429279,562169,NZ292621,1/1/1980 12:00:00 AM,,52,15,8,"Heworth",0.8,"Tyneside","Gateshead"
NE10 0QE,No,54.954477,-1.538495,429654,562301,NZ296623,1/1/1980 12:00:00 AM,2/1/2018 12:00:00 AM,45,,,"Heworth",1.1,"Tyneside","Gateshead"
NE10 0QG,No,54.951799,-1.545615,429200,562000,NZ291619,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,52,,,"Heworth",0.6,"Tyneside","Gateshead"
NE10 0QJ,Yes,54.953499,-1.546048,429171,562189,NZ291621,1/1/1980 12:00:00 AM,,55,13,6,"Heworth",0.7,"Tyneside","Gateshead"
NE10 0QL,Yes,54.954024,-1.547042,429107,562247,NZ291622,1/1/1980 12:00:00 AM,,56,125,64,"Heworth",0.6,"Tyneside","Gateshead"
NE10 0QN,Yes,54.95436,-1.545539,429203,562285,NZ292622,1/1/1980 12:00:00 AM,,55,36,18,"Heworth",0.7,"Tyneside","Gateshead"
NE10 0QP,Yes,54.954907,-1.547719,429063,562345,NZ290623,1/1/1980 12:00:00 AM,,50,73,35,"Heworth",0.6,"Tyneside","Gateshead"
NE10 0QQ,Yes,54.954552,-1.546536,429139,562306,NZ291623,1/1/1980 12:00:00 AM,,54,98,46,"Heworth",0.7,"Tyneside","Gateshead"
NE10 0QR,Yes,54.953693,-1.545172,429227,562211,NZ292622,1/1/1980 12:00:00 AM,,54,12,7,"Heworth",0.7,"Tyneside","Gateshead"
NE10 0QS,Yes,54.954178,-1.545057,429234,562265,NZ292622,1/1/1980 12:00:00 AM,,54,32,16,"Heworth",0.7,"Tyneside","Gateshead"
NE10 0QT,Yes,54.95391,-1.545419,429211,562235,NZ292622,1/1/1980 12:00:00 AM,,55,39,25,"Heworth",0.7,"Tyneside","Gateshead"
NE10 0QU,Yes,54.953797,-1.544046,429299,562223,NZ292622,1/1/1980 12:00:00 AM,,53,6,4,"Heworth",0.8,"Tyneside","Gateshead"
NE10 0QY,Yes,54.95557,-1.544807,429249,562420,NZ292624,1/1/1980 12:00:00 AM,,46,61,28,"Heworth",0.8,"Tyneside","Gateshead"
NE10 0QZ,Yes,54.954462,-1.544086,429296,562297,NZ292622,1/1/1980 12:00:00 AM,,53,29,18,"Heworth",0.8,"Tyneside","Gateshead"
NE10 0RA,Yes,54.956323,-1.546704,429127,562503,NZ291625,1/1/1980 12:00:00 AM,,41,68,36,"Heworth",0.8,"Tyneside","Gateshead"
NE10 0RB,Yes,54.955601,-1.543511,429332,562424,NZ293624,1/1/1980 12:00:00 AM,,46,129,64,"Heworth",0.9,"Tyneside","Gateshead"
NE10 0RD,Yes,54.95453,-1.543179,429354,562305,NZ293623,1/1/1980 12:00:00 AM,,51,93,34,"Heworth",0.9,"Tyneside","Gateshead"
NE10 0RE,Yes,54.955686,-1.544478,429270,562433,NZ292624,1/1/1980 12:00:00 AM,,45,94,40,"Heworth",0.9,"Tyneside","Gateshead"
