Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
E1 0AA,Yes,51.512497,-0.052098,535267,181084,TQ352810,1/1/1980 12:00:00 AM,,12,54,11,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0AB,No,51.513385,-0.050878,535349,181185,TQ353811,1/1/1980 12:00:00 AM,11/1/2009 12:00:00 AM,12,,,"Shadwell",0.5,"Greater London","Tower Hamlets"
E1 0AD,Yes,51.51291,-0.055323,535042,181124,TQ350811,4/1/2006 12:00:00 AM,,16,76,27,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0AE,Yes,51.510671,-0.052594,535238,180880,TQ352808,1/1/1980 12:00:00 AM,,12,71,35,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AF,Yes,51.510864,-0.051161,535337,180904,TQ353809,1/1/1980 12:00:00 AM,,12,59,27,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0AG,Yes,51.513392,-0.054034,535130,181180,TQ351811,3/1/2003 12:00:00 AM,,14,19,13,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AH,Yes,51.511129,-0.051464,535315,180933,TQ353809,1/1/1980 12:00:00 AM,,12,,,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0AJ,Yes,51.511258,-0.052785,535223,180945,TQ352809,1/1/1980 12:00:00 AM,,13,20,10,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AL,Yes,51.511002,-0.052522,535242,180917,TQ352809,1/1/1980 12:00:00 AM,,12,63,16,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AN,Yes,51.511296,-0.052365,535252,180950,TQ352809,1/1/1980 12:00:00 AM,,12,35,13,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AP,Yes,51.511394,-0.051713,535297,180962,TQ352809,1/1/1980 12:00:00 AM,,12,80,33,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0AQ,Yes,51.511551,-0.050884,535354,180981,TQ353809,1/1/1980 12:00:00 AM,,12,46,12,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0AR,Yes,51.511598,-0.052093,535270,180984,TQ352809,1/1/1980 12:00:00 AM,,12,56,29,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AS,Yes,51.511572,-0.052685,535229,180980,TQ352809,1/1/1980 12:00:00 AM,,13,90,24,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AT,Yes,51.513148,-0.054364,535108,181152,TQ351811,3/1/2003 12:00:00 AM,,14,,,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AU,Yes,51.511313,-0.053388,535181,180950,TQ351809,1/1/1980 12:00:00 AM,,13,105,44,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0AW,Yes,51.511105,-0.051682,535300,180930,TQ352809,1/1/1980 12:00:00 AM,,12,71,15,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0AX,Yes,51.511313,-0.053388,535181,180950,TQ351809,1/1/1980 12:00:00 AM,,13,93,28,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0AY,Yes,51.512879,-0.053422,535174,181124,TQ351811,1/1/1980 12:00:00 AM,,14,9,4,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0AZ,Yes,51.512534,-0.05433,535112,181084,TQ351810,1/1/1980 12:00:00 AM,,15,138,43,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0BA,Yes,51.512598,-0.053837,535146,181092,TQ351810,1/1/1980 12:00:00 AM,,14,140,42,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0BB,Yes,51.513657,-0.053636,535157,181210,TQ351812,1/1/1980 12:00:00 AM,,13,8,3,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0BD,Yes,51.513707,-0.052925,535206,181217,TQ352812,1/1/1980 12:00:00 AM,,13,2,1,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0BE,Yes,51.511737,-0.05128,535326,181001,TQ353810,4/1/1987 12:00:00 AM,,12,36,16,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0BF,Yes,51.513079,-0.054667,535087,181144,TQ350811,3/1/2003 12:00:00 AM,,14,45,18,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0BG,Yes,51.51256,-0.052643,535229,181090,TQ352810,7/1/1990 12:00:00 AM,,13,100,21,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0BH,Yes,51.510554,-0.060643,534680,180852,TQ346808,1/1/1980 12:00:00 AM,,16,101,47,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0BJ,Yes,51.510176,-0.061262,534638,180809,TQ346808,1/1/1980 12:00:00 AM,,15,244,67,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0BL,Yes,51.510931,-0.060036,534721,180895,TQ347808,1/1/1980 12:00:00 AM,,17,117,36,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0BN,Yes,51.511987,-0.052278,535256,181027,TQ352810,1/1/2005 12:00:00 AM,,12,,,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0BP,Yes,51.510164,-0.056708,534954,180816,TQ349808,1/1/1980 12:00:00 AM,,13,14,2,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0BQ,Yes,51.51125,-0.051214,535332,180947,TQ353809,8/1/1993 12:00:00 AM,,12,,,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0BS,Yes,51.510626,-0.056371,534976,180868,TQ349808,1/1/1980 12:00:00 AM,,14,94,31,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0BT,Yes,51.510529,-0.055986,535003,180858,TQ350808,1/1/1980 12:00:00 AM,,13,59,18,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0BU,Yes,51.510079,-0.055948,535007,180808,TQ350808,1/1/1980 12:00:00 AM,,12,360,123,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0BW,Yes,51.510758,-0.056769,534948,180882,TQ349808,1/1/1980 12:00:00 AM,,14,114,30,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0BX,Yes,51.510868,-0.055828,535013,180896,TQ350808,1/1/1980 12:00:00 AM,,14,,,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0BY,Yes,51.510215,-0.054933,535077,180825,TQ350808,1/1/1980 12:00:00 AM,,11,,,"Shadwell",0.2,"Greater London","Tower Hamlets"
