Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DN11 9PH,No,53.421748,-1.146763,456800,392000,SK568919,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,35,,,"Conisbrough",9.5,"",""
DN11 9RG,Yes,53.406668,-1.116078,458860,390347,SK588903,1/1/1980 12:00:00 AM,,41,3,2,"Shireoaks",9.7,"",""
S1 1DH,No,53.342857,-1.319566,445400,383100,SK454830,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,44,,,"Woodhouse",3.4,"",""
S13 9AD,Yes,53.365998,-1.342702,443836,385660,SK438856,10/1/2012 12:00:00 AM,,42,,,"Woodhouse",1.0,"Sheffield","Fence"
S13 9EL,No,53.382685,-1.370047,442000,387500,SK420874,3/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,47,,,"Woodhouse",2.3,"",""
S13 9NH,No,53.380839,-1.361055,442600,387300,SK425872,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,26,,,"Woodhouse",1.9,"",""
S13 9NJ,No,53.378159,-1.364101,442400,387000,SK424869,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,25,,,"Woodhouse",1.7,"",""
S13 9WA,Yes,53.366678,-1.360229,442669,385725,SK426857,1/1/1980 12:00:00 AM,,50,22,12,"Woodhouse",0.4,"Sheffield","Sheffield"
S13 9WB,Yes,53.366591,-1.35745,442854,385717,SK428857,1/1/1980 12:00:00 AM,,42,47,19,"Woodhouse",0.3,"Sheffield","Sheffield"
S13 9WD,Yes,53.366483,-1.352448,443187,385708,SK431857,1/1/1980 12:00:00 AM,,34,7,3,"Woodhouse",0.5,"Sheffield","Sheffield"
S13 9WG,Yes,53.366387,-1.349579,443378,385699,SK433856,1/1/1980 12:00:00 AM,,37,7,2,"Woodhouse",0.6,"",""
S13 9WH,Yes,53.36483,-1.344253,443734,385529,SK437855,12/1/1995 12:00:00 AM,,37,,,"Woodhouse",0.9,"Sheffield","Fence"
S13 9XP,Yes,53.367032,-1.355911,442956,385767,SK429857,1/1/1980 12:00:00 AM,,40,41,16,"Woodhouse",0.4,"Sheffield","Sheffield"
S13 9XQ,Yes,53.368764,-1.35862,442774,385958,SK427859,1/1/1980 12:00:00 AM,,50,85,34,"Woodhouse",0.6,"Sheffield","Sheffield"
S13 9XR,Yes,53.368447,-1.358354,442792,385923,SK427859,1/1/1980 12:00:00 AM,,49,60,22,"Woodhouse",0.5,"Sheffield","Sheffield"
S13 9XS,Yes,53.367516,-1.360743,442634,385818,SK426858,1/1/1980 12:00:00 AM,,54,81,32,"Woodhouse",0.5,"Sheffield","Sheffield"
S13 9XT,Yes,53.367586,-1.360306,442663,385826,SK426858,1/1/1980 12:00:00 AM,,52,44,19,"Woodhouse",0.5,"Sheffield","Sheffield"
S13 9XU,Yes,53.367652,-1.359178,442738,385834,SK427858,1/1/1980 12:00:00 AM,,50,96,32,"Woodhouse",0.4,"Sheffield","Sheffield"
S13 9XW,Yes,53.367498,-1.357317,442862,385818,SK428858,1/1/1980 12:00:00 AM,,45,122,49,"Woodhouse",0.4,"Sheffield","Sheffield"
S13 9XY,Yes,53.367756,-1.3585,442783,385846,SK427858,1/1/1980 12:00:00 AM,,48,79,34,"Woodhouse",0.5,"Sheffield","Sheffield"
S13 9XZ,Yes,53.368084,-1.356,442949,385884,SK429858,1/1/1980 12:00:00 AM,,43,62,31,"Woodhouse",0.5,"Sheffield","Sheffield"
S13 9YN,No,53.368167,-1.344712,443700,385900,SK437858,10/1/1997 12:00:00 AM,10/1/2000 12:00:00 AM,39,,,"Woodhouse",1.0,"",""
S13 9YZ,No,53.368167,-1.344712,443700,385900,SK437858,1/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,39,,,"Woodhouse",1.0,"",""
S13 9ZA,No,53.366336,-1.338729,444100,385700,SK441856,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,50,,,"Woodhouse",1.3,"Sheffield","Fence"
S13 9ZB,Yes,53.364031,-1.334783,444365,385446,SK443854,1/1/1980 12:00:00 AM,,69,83,36,"Woodhouse",1.5,"Sheffield","Swallownest"
S13 9ZD,Yes,53.366116,-1.337966,444151,385676,SK441856,1/1/1980 12:00:00 AM,,52,25,11,"Woodhouse",1.3,"Sheffield","Fence"
S13 9ZE,Yes,53.368488,-1.342468,443849,385937,SK438859,1/1/1980 12:00:00 AM,,41,5,2,"Woodhouse",1.1,"Sheffield","Fence"
S13 9ZH,Yes,53.371095,-1.337664,444166,386230,SK441862,12/1/1997 12:00:00 AM,,63,7,4,"Woodhouse",1.6,"",""
S13 9ZL,Yes,53.369192,-1.343119,443805,386015,SK438860,1/1/1980 12:00:00 AM,,38,68,31,"Woodhouse",1.1,"Sheffield","Fence"
S13 9ZT,No,53.37083,-1.33866,444100,386200,SK440861,1/1/1993 12:00:00 AM,6/1/1996 12:00:00 AM,55,,,"Woodhouse",1.5,"",""
S13 9ZU,No,53.37083,-1.33866,444100,386200,SK440861,1/1/1993 12:00:00 AM,6/1/1996 12:00:00 AM,55,,,"Woodhouse",1.5,"",""
S13 9ZX,No,53.37083,-1.33866,444100,386200,SK440861,1/1/1993 12:00:00 AM,6/1/1996 12:00:00 AM,55,,,"Woodhouse",1.5,"",""
S13 9ZY,No,53.37083,-1.33866,444100,386200,SK440861,1/1/1993 12:00:00 AM,6/1/1996 12:00:00 AM,55,,,"Woodhouse",1.5,"",""
S13 9ZZ,No,53.37083,-1.33866,444100,386200,SK440861,1/1/1993 12:00:00 AM,6/1/1996 12:00:00 AM,55,,,"Woodhouse",1.5,"",""
S2 4LB,No,53.370399,-1.265021,449000,386200,SK490861,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,105,,,"Kiveton Bridge",3.3,"",""
S20 1AH,Yes,53.352763,-1.333831,444440,384193,SK444841,6/1/1997 12:00:00 AM,,37,,,"Woodhouse",2.0,"",""
S20 1DJ,Yes,53.356658,-1.331111,444617,384628,SK446846,1/1/2010 12:00:00 AM,,50,,,"Woodhouse",1.9,"Sheffield","Swallownest"
S25 1AA,Yes,53.386711,-1.218973,452044,388047,SK520880,9/1/2017 12:00:00 AM,,126,,,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1BY,No,53.387144,-1.218032,452106,388096,SK521880,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,124,,,"Kiveton Park",5.8,"Laughton en le Morthen",""
S25 1BZ,No,53.386468,-1.219187,452030,388020,SK520880,2/1/1997 12:00:00 AM,10/1/2000 12:00:00 AM,127,,,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1WB,No,53.385848,-1.216522,452208,387953,SK522879,6/1/1997 12:00:00 AM,7/1/1997 12:00:00 AM,123,,,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1WZ,No,53.385848,-1.216522,452208,387953,SK522879,7/1/2002 12:00:00 AM,7/1/2003 12:00:00 AM,123,,,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1XA,Yes,53.385848,-1.216522,452208,387953,SK522879,6/1/1997 12:00:00 AM,,123,6,3,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1XZ,Yes,53.397286,-1.235111,450958,389212,SK509892,6/1/1997 12:00:00 AM,,110,2,1,"Kiveton Bridge",6.6,"",""
S25 1YA,Yes,53.395373,-1.228408,451406,389004,SK514890,6/1/1997 12:00:00 AM,,92,103,43,"Kiveton Park",6.6,"",""
S25 1YB,Yes,53.38752,-1.224701,451662,388133,SK516881,6/1/1997 12:00:00 AM,,136,23,9,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1YD,Yes,53.385923,-1.215619,452268,387962,SK522879,6/1/1997 12:00:00 AM,,122,33,18,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1YE,Yes,53.386494,-1.21627,452224,388025,SK522880,6/1/1997 12:00:00 AM,,120,28,12,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1YF,Yes,53.387619,-1.22058,451936,388147,SK519881,6/1/1997 12:00:00 AM,,128,76,34,"Kiveton Park",5.8,"Laughton en le Morthen",""
S25 1YG,Yes,53.388009,-1.219776,451989,388191,SK519881,6/1/1997 12:00:00 AM,,126,29,11,"Kiveton Park",5.9,"Laughton en le Morthen",""
S25 1YH,Yes,53.384326,-1.213228,452429,387786,SK524877,6/1/1997 12:00:00 AM,,119,103,57,"Kiveton Park",5.6,"Laughton en le Morthen",""
S25 1YJ,Yes,53.385398,-1.216365,452219,387903,SK522879,6/1/1997 12:00:00 AM,,124,30,15,"Kiveton Park",5.6,"Laughton en le Morthen",""
S25 1YL,Yes,53.384905,-1.216315,452223,387848,SK522878,6/1/1997 12:00:00 AM,,124,94,39,"Kiveton Park",5.6,"Laughton en le Morthen",""
S25 1YN,Yes,53.384047,-1.215999,452245,387753,SK522877,6/1/1997 12:00:00 AM,,123,84,39,"Kiveton Park",5.5,"Laughton en le Morthen",""
S25 1YP,Yes,53.386003,-1.220925,451915,387967,SK519879,6/1/1997 12:00:00 AM,,129,100,42,"Kiveton Park",5.6,"Laughton en le Morthen",""
S25 1YQ,Yes,53.396704,-1.214759,452312,389162,SK523891,6/1/1997 12:00:00 AM,,101,38,17,"Kiveton Park",6.9,"",""
S25 1YR,Yes,53.396046,-1.21435,452340,389089,SK523890,6/1/1997 12:00:00 AM,,96,8,3,"Kiveton Park",6.8,"",""
S25 1YS,Yes,53.386653,-1.221274,451891,388039,SK518880,6/1/1997 12:00:00 AM,,131,6,2,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1YT,Yes,53.387341,-1.215217,452293,388120,SK522881,6/1/1997 12:00:00 AM,,114,55,29,"Kiveton Park",5.9,"Laughton en le Morthen",""
S25 1YU,Yes,53.387128,-1.215582,452269,388096,SK522880,6/1/1997 12:00:00 AM,,116,8,5,"Kiveton Park",5.8,"Laughton en le Morthen",""
S25 1YW,Yes,53.386574,-1.221591,451870,388030,SK518880,6/1/1997 12:00:00 AM,,131,64,30,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1YX,Yes,53.386192,-1.216592,452203,387991,SK522879,6/1/1997 12:00:00 AM,,122,6,2,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1YY,Yes,53.385369,-1.222906,451784,387895,SK517878,6/1/1997 12:00:00 AM,,130,32,16,"Kiveton Park",5.5,"Laughton en le Morthen",""
S25 1YZ,Yes,53.386303,-1.222859,451786,387999,SK517879,6/1/1997 12:00:00 AM,,132,16,8,"Kiveton Park",5.6,"Laughton en le Morthen",""
S25 1ZA,Yes,53.388082,-1.221353,451884,388198,SK518881,6/1/1997 12:00:00 AM,,130,44,22,"Kiveton Park",5.8,"Laughton en le Morthen",""
S25 1ZB,Yes,53.385,-1.213215,452429,387861,SK524878,6/1/1997 12:00:00 AM,,118,28,16,"Kiveton Park",5.6,"Laughton en le Morthen",""
S25 1ZD,Yes,53.385036,-1.211906,452516,387866,SK525878,6/1/1997 12:00:00 AM,,114,18,8,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1ZE,Yes,53.386122,-1.213074,452437,387986,SK524879,6/1/1997 12:00:00 AM,,115,41,24,"Kiveton Park",5.8,"Laughton en le Morthen",""
S25 1ZF,Yes,53.38559,-1.214152,452366,387926,SK523879,6/1/1997 12:00:00 AM,,120,10,5,"Kiveton Park",5.7,"Laughton en le Morthen",""
S25 1ZG,Yes,53.39494,-1.22404,451697,388959,SK516889,6/1/1997 12:00:00 AM,,91,18,6,"Kiveton Park",6.6,"",""
S25 1ZH,Yes,53.387882,-1.220726,451926,388176,SK519881,12/1/2001 12:00:00 AM,,131,4,2,"Kiveton Park",5.8,"Laughton en le Morthen",""
S25 1ZJ,Yes,53.388291,-1.22171,451860,388221,SK518882,6/1/2002 12:00:00 AM,,129,50,17,"Kiveton Park",5.9,"Laughton en le Morthen",""
S25 1ZQ,Yes,53.397604,-1.21208,452489,389264,SK524892,6/1/1997 12:00:00 AM,,105,15,6,"Kiveton Park",7.0,"",""
S25 1ZX,Yes,53.373406,-1.244182,450383,386549,SK503865,6/1/1997 12:00:00 AM,,104,1,1,"Kiveton Bridge",3.9,"",""
S25 1ZY,Yes,53.388395,-1.211423,452544,388240,SK525882,7/1/2006 12:00:00 AM,,104,,,"Kiveton Park",6.0,"",""
S25 2AA,Yes,53.364633,-1.198353,453443,385606,SK534856,6/1/2016 12:00:00 AM,,118,,,"Kiveton Park",4.1,"Dinnington (Rotherham)",""
S25 2AB,Yes,53.372974,-1.210716,452610,386525,SK526865,8/1/2009 12:00:00 AM,,107,18,0,"Kiveton Park",4.5,"Dinnington (Rotherham)",""
S25 2AD,Yes,53.367639,-1.212648,452488,385930,SK524859,1/1/2009 12:00:00 AM,,116,3,1,"Kiveton Park",3.9,"Dinnington (Rotherham)",""
S25 2AE,Yes,53.365841,-1.211119,452592,385731,SK525857,9/1/2009 12:00:00 AM,,122,,,"Kiveton Park",3.8,"Dinnington (Rotherham)",""
S25 2AF,Yes,53.368128,-1.211888,452538,385985,SK525859,5/1/2012 12:00:00 AM,,117,,,"Kiveton Park",4.0,"Dinnington (Rotherham)",""
S25 2AG,Yes,53.369532,-1.21075,452612,386142,SK526861,6/1/2012 12:00:00 AM,,115,,,"Kiveton Park",4.1,"Dinnington (Rotherham)",""
S25 2AH,Yes,53.372362,-1.206564,452887,386460,SK528864,7/1/2013 12:00:00 AM,,108,,,"Kiveton Park",4.5,"Dinnington (Rotherham)",""
S25 2AJ,Yes,53.372695,-1.206603,452884,386497,SK528864,9/1/2013 12:00:00 AM,,109,,,"Kiveton Park",4.6,"Dinnington (Rotherham)",""
S25 2AL,Yes,53.372536,-1.205599,452951,386480,SK529864,8/1/2013 12:00:00 AM,,110,,,"Kiveton Park",4.6,"Dinnington (Rotherham)",""
S25 2AN,Yes,53.372716,-1.208391,452765,386498,SK527864,11/1/2013 12:00:00 AM,,108,,,"Kiveton Park",4.5,"Dinnington (Rotherham)",""
S25 2AQ,Yes,53.372784,-1.207759,452807,386506,SK528865,6/1/2014 12:00:00 AM,,109,,,"Kiveton Park",4.5,"Dinnington (Rotherham)",""
S25 2AR,Yes,53.372957,-1.208101,452784,386525,SK527865,6/1/2014 12:00:00 AM,,109,,,"Kiveton Park",4.5,"Dinnington (Rotherham)",""
S25 2AS,Yes,53.369099,-1.201139,453252,386101,SK532861,2/1/2014 12:00:00 AM,,112,,,"Kiveton Park",4.4,"Dinnington (Rotherham)",""
S25 2AT,Yes,53.374412,-1.209112,452715,386686,SK527866,12/1/2014 12:00:00 AM,,110,,,"Kiveton Park",4.7,"Dinnington (Rotherham)",""
S25 2AU,Yes,53.367336,-1.208807,452744,385899,SK527858,6/1/2017 12:00:00 AM,,110,,,"Kiveton Park",4.0,"Dinnington (Rotherham)",""
S25 2BL,No,53.368679,-1.206888,452870,386050,SK528860,6/1/2000 12:00:00 AM,10/1/2000 12:00:00 AM,112,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
S25 2BN,No,53.368831,-1.206735,452880,386067,SK528860,12/1/1999 12:00:00 AM,3/1/2001 12:00:00 AM,111,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
S25 2BP,No,53.368831,-1.206735,452880,386067,SK528860,6/1/1999 12:00:00 AM,4/1/2001 12:00:00 AM,111,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
S25 2BQ,No,53.368831,-1.206735,452880,386067,SK528860,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,111,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
S25 2BR,No,53.365451,-1.235591,450964,385670,SK509856,12/1/1998 12:00:00 AM,3/1/2010 12:00:00 AM,98,,,"Kiveton Park",3.2,"Dinnington (Rotherham)",""
S25 2BT,No,53.368831,-1.206735,452880,386067,SK528860,12/1/1998 12:00:00 AM,4/1/2001 12:00:00 AM,111,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
S25 2BU,No,53.368831,-1.206735,452880,386067,SK528860,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,111,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
S25 2BW,No,53.368831,-1.206735,452880,386067,SK528860,12/1/1997 12:00:00 AM,1/1/2001 12:00:00 AM,111,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
S25 2BX,Yes,53.365424,-1.235592,450964,385667,SK509856,12/1/1997 12:00:00 AM,,98,,,"Kiveton Park",3.2,"Dinnington (Rotherham)",""
S25 2BY,No,53.368831,-1.206735,452880,386067,SK528860,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,111,,,"Kiveton Park",4.2,"Dinnington (Rotherham)",""
