Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
ST1 1AA,No,53.024924,-2.174543,388390,347529,SJ883475,2/1/1990 12:00:00 AM,12/1/2008 12:00:00 AM,168,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1AB,No,53.008117,-2.178499,388120,345660,SJ881456,12/1/1995 12:00:00 AM,6/1/2008 12:00:00 AM,119,,,"Stoke-On-Trent",0.2,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1AP,Yes,53.024399,-2.176703,388245,347471,SJ882474,12/1/1999 12:00:00 AM,,162,,,"Stoke-On-Trent",1.8,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1AT,No,53.024661,-2.175884,388300,347500,SJ883474,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,166,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1AZ,No,53.008117,-2.178499,388120,345660,SJ881456,9/1/1991 12:00:00 AM,4/1/2009 12:00:00 AM,119,,,"Stoke-On-Trent",0.2,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1BA,No,53.025137,-2.17608,388287,347553,SJ882475,1/1/1995 12:00:00 AM,7/1/2004 12:00:00 AM,166,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1BS,Yes,53.026101,-2.174801,388373,347660,SJ883476,1/1/1995 12:00:00 AM,,170,,,"Stoke-On-Trent",2.1,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DA,Yes,53.025695,-2.175843,388303,347615,SJ883476,1/1/1980 12:00:00 AM,,167,,,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DB,Yes,53.02583,-2.17565,388316,347630,SJ883476,1/1/1980 12:00:00 AM,,168,,,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DD,No,53.02376,-2.177371,388200,347400,SJ882473,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,156,,,"Stoke-On-Trent",1.8,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DE,Yes,53.025236,-2.175736,388310,347564,SJ883475,7/1/2002 12:00:00 AM,,167,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DF,Yes,53.025928,-2.176023,388291,347641,SJ882476,1/1/1980 12:00:00 AM,,167,,,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DG,Yes,53.025181,-2.176541,388256,347558,SJ882475,1/1/1980 12:00:00 AM,,165,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DH,Yes,53.025477,-2.176706,388245,347591,SJ882475,1/1/1980 12:00:00 AM,,164,1,1,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DJ,No,53.025569,-2.175783,388307,347601,SJ883476,1/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,167,,,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DL,Yes,53.025495,-2.176975,388227,347593,SJ882475,1/1/1980 12:00:00 AM,,163,,,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DN,No,53.025569,-2.175783,388307,347601,SJ883476,6/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,167,,,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DP,No,53.022861,-2.177367,388200,347300,SJ882472,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,154,,,"Stoke-On-Trent",1.7,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DQ,No,53.024659,-2.177375,388200,347500,SJ881474,12/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,159,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DR,Yes,53.025242,-2.17763,388183,347565,SJ881475,1/1/1980 12:00:00 AM,,158,1,1,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DS,No,53.024659,-2.177375,388200,347500,SJ881474,8/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,159,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DT,No,53.025125,-2.177854,388168,347552,SJ881475,1/1/1980 12:00:00 AM,5/1/2008 12:00:00 AM,158,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DU,No,53.024657,-2.178866,388100,347500,SJ880474,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,152,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DW,No,53.024992,-2.17675,388242,347537,SJ882475,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,164,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DX,No,53.024657,-2.178866,388100,347500,SJ880474,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,152,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DY,Yes,53.025251,-2.178316,388137,347566,SJ881475,1/1/1980 12:00:00 AM,,156,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1DZ,No,53.024659,-2.177375,388200,347500,SJ881474,7/1/1983 12:00:00 AM,12/1/1992 12:00:00 AM,159,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EA,No,53.024092,-2.177462,388194,347437,SJ881474,1/1/1980 12:00:00 AM,3/1/2016 12:00:00 AM,157,,,"Stoke-On-Trent",1.8,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EB,Yes,53.024442,-2.178119,388150,347476,SJ881474,1/1/1980 12:00:00 AM,,155,3,2,"Stoke-On-Trent",1.8,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1ED,No,53.02376,-2.177371,388200,347400,SJ882473,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,156,,,"Stoke-On-Trent",1.8,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EE,Yes,53.024802,-2.177793,388172,347516,SJ881475,1/1/1980 12:00:00 AM,,157,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EF,Yes,53.024083,-2.177969,388160,347436,SJ881474,1/1/1980 12:00:00 AM,,154,,,"Stoke-On-Trent",1.8,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EG,Yes,53.024848,-2.177361,388201,347521,SJ882475,1/1/1980 12:00:00 AM,,160,1,1,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EH,No,53.024801,-2.17821,388144,347516,SJ881475,6/1/1981 12:00:00 AM,8/1/2016 12:00:00 AM,155,,,"Stoke-On-Trent",1.9,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EJ,No,53.025569,-2.175783,388307,347601,SJ883476,1/1/1980 12:00:00 AM,8/1/2009 12:00:00 AM,167,,,"Stoke-On-Trent",2.0,"Stoke-on-Trent","Stoke-on-Trent"
ST1 1EL,No,53.02376,-2.177371,388200,347400,SJ882473,4/1/1987 12:00:00 AM,1/1/1995 12:00:00 AM,156,,,"Stoke-On-Trent",1.8,"Stoke-on-Trent","Stoke-on-Trent"
