Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
SE1 7AA,Yes,51.502183,-0.110839,531221,179830,TQ312798,1/1/1980 12:00:00 AM,,11,,,"Waterloo",0.2,"Greater London","Lambeth"
SE1 7AB,Yes,51.501519,-0.1115,531177,179755,TQ311797,1/1/1980 12:00:00 AM,,8,31,14,"Waterloo",0.2,"Greater London","Lambeth"
SE1 7AD,Yes,51.501035,-0.112799,531088,179699,TQ310796,1/1/1980 12:00:00 AM,,9,12,9,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7AE,Yes,51.500659,-0.113394,531048,179656,TQ310796,1/1/1980 12:00:00 AM,,10,52,21,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7AF,No,51.500166,-0.114103,531000,179600,TQ309796,8/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,12,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7AG,Yes,51.492814,-0.120431,530582,178771,TQ305787,3/1/2017 12:00:00 AM,,10,,,"Vauxhall",0.8,"Greater London","Lambeth"
SE1 7AH,Yes,51.494515,-0.119382,530650,178962,TQ306789,2/1/2018 12:00:00 AM,,12,,,"Lambeth North",0.7,"Greater London","Lambeth"
SE1 7AJ,Yes,51.500073,-0.11281,531090,179592,TQ310795,1/1/1980 12:00:00 AM,,10,79,39,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7AL,Yes,51.500073,-0.11281,531090,179592,TQ310795,1/1/1980 12:00:00 AM,,10,102,40,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7AN,Yes,51.500076,-0.111902,531153,179594,TQ311795,1/1/1980 12:00:00 AM,,7,83,35,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7AP,No,51.501501,-0.111598,531170,179753,TQ311797,6/1/1981 12:00:00 AM,6/1/1999 12:00:00 AM,8,,,"Waterloo",0.2,"Greater London","Lambeth"
SE1 7AQ,No,51.502125,-0.116284,530843,179814,TQ308798,10/1/1984 12:00:00 AM,2/1/2007 12:00:00 AM,12,,,"Waterloo",0.2,"Greater London","Lambeth"
SE1 7AR,No,51.499841,-0.112358,531122,179567,TQ311795,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,9,1,1,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7AS,No,51.490612,-0.122207,530465,178523,TQ304785,9/1/2017 12:00:00 AM,10/1/2017 12:00:00 AM,10,,,"Vauxhall",0.5,"Greater London","Lambeth"
SE1 7AT,No,51.499736,-0.111988,531148,179556,TQ311795,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,7,1,1,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7AU,Yes,51.500479,-0.110689,531236,179641,TQ312796,1/1/1980 12:00:00 AM,,6,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7AW,No,51.502125,-0.116284,530843,179814,TQ308798,12/1/1998 12:00:00 AM,2/1/2004 12:00:00 AM,12,,,"Waterloo",0.2,"Greater London","Lambeth"
SE1 7AX,Yes,51.500479,-0.110689,531236,179641,TQ312796,1/1/1980 12:00:00 AM,,6,26,16,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7AY,Yes,51.501066,-0.110276,531263,179707,TQ312797,1/1/1980 12:00:00 AM,,7,37,13,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7AZ,Yes,51.500754,-0.110419,531254,179672,TQ312796,1/1/1980 12:00:00 AM,,6,31,15,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BA,Yes,51.500929,-0.10959,531311,179693,TQ313796,1/1/1980 12:00:00 AM,,7,62,28,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7BB,Yes,51.500217,-0.109476,531321,179614,TQ313796,1/1/1980 12:00:00 AM,,6,143,57,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BD,Yes,51.499899,-0.110382,531259,179577,TQ312795,1/1/1980 12:00:00 AM,,5,20,13,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7BE,Yes,51.50089,-0.108828,531364,179690,TQ313796,12/1/2000 12:00:00 AM,,8,,,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7BF,No,51.50282,-0.119252,530635,179886,TQ306798,4/1/2008 12:00:00 AM,5/1/2012 12:00:00 AM,8,,,"Waterloo",0.4,"Greater London","Lambeth"
SE1 7BG,Yes,51.499871,-0.109202,531341,179576,TQ313795,1/1/1980 12:00:00 AM,,5,26,18,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BH,No,51.500166,-0.114103,531000,179600,TQ309796,3/1/1982 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BJ,Yes,51.496852,-0.112151,531145,179235,TQ311792,12/1/1999 12:00:00 AM,,9,,,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7BL,Yes,51.497593,-0.112267,531135,179317,TQ311793,1/1/1980 12:00:00 AM,,9,28,14,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BN,Yes,51.49798,-0.112421,531123,179360,TQ311793,1/1/1980 12:00:00 AM,,10,9,8,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7BT,Yes,51.494584,-0.119206,530662,178970,TQ306789,1/1/2018 12:00:00 AM,,12,,,"Lambeth North",0.7,"Greater London","Lambeth"
SE1 7BU,Yes,51.497109,-0.112457,531123,179263,TQ311792,1/1/1980 12:00:00 AM,,8,19,11,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BW,Yes,51.497591,-0.112293,531133,179317,TQ311793,1/1/1980 12:00:00 AM,,9,33,19,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BX,Yes,51.497447,-0.11227,531135,179301,TQ311793,9/1/1981 12:00:00 AM,,9,53,34,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7BY,Yes,51.496803,-0.113046,531083,179228,TQ310792,1/1/1980 12:00:00 AM,,8,66,24,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7BZ,Yes,51.496879,-0.113205,531072,179236,TQ310792,1/1/1980 12:00:00 AM,,8,50,18,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7DA,Yes,51.496807,-0.113712,531037,179227,TQ310792,1/1/1980 12:00:00 AM,,7,59,22,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7DB,No,51.498241,-0.113548,531044,179387,TQ310793,6/1/2000 12:00:00 AM,12/1/2012 12:00:00 AM,10,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7DD,Yes,51.496488,-0.114125,531009,179191,TQ310791,1/1/1980 12:00:00 AM,,6,84,36,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7DE,Yes,51.496015,-0.114375,530993,179138,TQ309791,1/1/1980 12:00:00 AM,,7,55,24,"Lambeth North",0.4,"Greater London","Lambeth"
SE1 7DF,Yes,51.496219,-0.113632,531044,179162,TQ310791,1/1/1980 12:00:00 AM,,6,66,34,"Lambeth North",0.3,"Greater London","Lambeth"
SE1 7DG,Yes,51.495915,-0.113169,531077,179129,TQ310791,2/1/2012 12:00:00 AM,,7,,,"Lambeth North",0.4,"Greater London","Lambeth"
SE1 7DH,No,51.498368,-0.114177,531000,179400,TQ309793,8/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7DJ,No,51.498241,-0.113548,531044,179387,TQ310793,12/1/1995 12:00:00 AM,8/1/2004 12:00:00 AM,10,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7DL,No,51.498368,-0.114177,531000,179400,TQ309793,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7DN,No,51.498241,-0.113548,531044,179387,TQ310793,7/1/1995 12:00:00 AM,11/1/2001 12:00:00 AM,10,,,"Lambeth North",0.2,"Greater London","Lambeth"
SE1 7DP,Yes,51.498499,-0.112817,531094,179417,TQ310794,1/1/1980 12:00:00 AM,,11,4,2,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7DQ,Yes,51.49599,-0.112777,531104,179138,TQ311791,8/1/1992 12:00:00 AM,,9,41,2,"Lambeth North",0.4,"Greater London","Lambeth"
SE1 7DR,Yes,51.498648,-0.11369,531033,179432,TQ310794,1/1/1980 12:00:00 AM,,11,,,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7DT,Yes,51.499361,-0.113862,531019,179511,TQ310795,1/1/2010 12:00:00 AM,,11,,,"Lambeth North",0.1,"Greater London","Lambeth"
SE1 7DU,No,51.498241,-0.113548,531044,179387,TQ310793,2/1/1984 12:00:00 AM,7/1/2014 12:00:00 AM,10,,,"Lambeth North",0.2,"Greater London","Lambeth"
