Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
L31 1HN,Yes,53.512473,-2.888368,341186,402122,SD411021,1/1/1980 12:00:00 AM,,33,12,4,"Maghull",2.9,"",""
L31 4ET,Yes,53.523363,-2.964074,336182,403398,SD361033,1/1/1980 12:00:00 AM,,6,5,2,"Maghull",2.9,"",""
L31 4EU,Yes,53.532065,-2.972781,335618,404374,SD356043,1/1/1980 12:00:00 AM,,5,5,3,"Maghull",4.0,"",""
L31 4EX,Yes,53.533172,-2.970606,335764,404495,SD357044,1/1/1980 12:00:00 AM,,8,4,1,"Maghull",4.0,"",""
L31 4HS,Yes,53.54435,-2.949915,337152,405721,SD371057,1/1/1980 12:00:00 AM,,13,,,"Town Green",3.0,"",""
L31 4HX,Yes,53.551287,-2.943338,337598,406486,SD375064,1/1/1980 12:00:00 AM,,22,11,4,"Town Green",2.7,"",""
L31 4HY,Yes,53.552206,-2.943117,337614,406589,SD376065,1/1/1980 12:00:00 AM,,23,14,6,"Town Green",2.8,"",""
L31 4HZ,Yes,53.548154,-2.948277,337266,406142,SD372061,1/1/1980 12:00:00 AM,,19,9,3,"Town Green",3.0,"",""
L31 4LF,Yes,53.522465,-2.964161,336175,403298,SD361032,8/1/1993 12:00:00 AM,,6,12,5,"Maghull",2.8,"",""
L31 4LS,Yes,53.544905,-2.949097,337207,405782,SD372057,9/1/2009 12:00:00 AM,,14,12,3,"Town Green",3.0,"",""
L31 4LT,Yes,53.526279,-2.967205,335979,403726,SD359037,1/1/2010 12:00:00 AM,,6,6,3,"Maghull",3.3,"",""
L31 4WB,No,53.52267,-2.964332,336164,403321,SD361033,2/1/2009 12:00:00 AM,4/1/2009 12:00:00 AM,6,,,"Maghull",2.9,"",""
L33 3AL,Yes,53.483686,-2.83668,344576,398877,SJ445988,1/1/1980 12:00:00 AM,,45,4,1,"Kirkby (Merseyside)",4.4,"",""
L33 3AP,Yes,53.492585,-2.847872,343845,399876,SJ438998,1/1/1980 12:00:00 AM,,39,9,5,"Kirkby (Merseyside)",3.7,"",""
L33 3AT,Yes,53.494131,-2.859178,343097,400057,SD430000,1/1/1980 12:00:00 AM,,35,12,6,"Kirkby (Merseyside)",3.0,"",""
L33 3AU,Yes,53.493801,-2.868773,342460,400028,SD424000,1/1/1980 12:00:00 AM,,36,8,2,"Kirkby (Merseyside)",2.4,"",""
L33 4DJ,Yes,53.507328,-2.879093,341794,401542,SD417015,1/1/1980 12:00:00 AM,,29,10,3,"Kirkby (Merseyside)",2.8,"",""
L33 4XX,Yes,53.50565,-2.875017,342062,401352,SD420013,12/1/1996 12:00:00 AM,,32,33,12,"Kirkby (Merseyside)",2.8,"",""
L33 4XY,Yes,53.501993,-2.851152,343640,400925,SD436009,6/1/1996 12:00:00 AM,,38,,,"Kirkby (Merseyside)",3.8,"Simonswood Industrial Park",""
L33 4XZ,Yes,53.497762,-2.871643,342275,400471,SD422004,5/1/2004 12:00:00 AM,,34,,,"Kirkby (Merseyside)",2.4,"Kirkby",""
L33 4YA,Yes,53.499618,-2.858716,343135,400667,SD431006,1/1/1980 12:00:00 AM,,36,1,1,"Kirkby (Merseyside)",3.3,"Simonswood Industrial Park",""
L33 4YB,Yes,53.504328,-2.85147,343622,401186,SD436011,1/1/1980 12:00:00 AM,,40,28,12,"Kirkby (Merseyside)",3.9,"Simonswood Industrial Park",""
L33 4YD,Yes,53.50298,-2.853976,343454,401038,SD434010,1/1/1980 12:00:00 AM,,40,9,3,"Kirkby (Merseyside)",3.7,"Simonswood Industrial Park",""
L33 4YF,Yes,53.504081,-2.88023,341714,401181,SD417011,1/1/1980 12:00:00 AM,,31,4,2,"Kirkby (Merseyside)",2.5,"",""
L33 4YG,Yes,53.505063,-2.87778,341878,401288,SD418012,1/1/1980 12:00:00 AM,,32,7,4,"Kirkby (Merseyside)",2.7,"",""
L33 4YH,Yes,53.507262,-2.843296,344168,401505,SD441015,1/1/1980 12:00:00 AM,,35,12,7,"Rainford",3.7,"",""
L33 4YL,No,53.502036,-2.853942,343455,400932,SD434009,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,39,,,"Kirkby (Merseyside)",3.7,"Simonswood Industrial Park",""
L33 4YN,No,53.500748,-2.866806,342600,400799,SD425007,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,34,,,"Kirkby (Merseyside)",2.9,"",""
L33 4YP,No,53.500748,-2.866806,342600,400799,SD425007,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,34,,,"Kirkby (Merseyside)",2.9,"",""
L33 4YQ,Yes,53.508078,-2.871102,342325,401618,SD423016,1/1/1980 12:00:00 AM,,35,8,3,"Kirkby (Merseyside)",3.2,"",""
L33 4YR,No,53.503286,-2.855143,343377,401073,SD433010,1/1/1980 12:00:00 AM,5/1/2002 12:00:00 AM,39,,,"Kirkby (Merseyside)",3.7,"Simonswood Industrial Park",""
L33 4YW,No,53.500748,-2.866806,342600,400799,SD425007,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,34,,,"Kirkby (Merseyside)",2.9,"",""
L37 0AA,Yes,53.561474,-3.040307,331190,407709,SD311077,1/1/1980 12:00:00 AM,,5,,,"Freshfield",2.1,"Formby",""
L37 5AA,Yes,53.552613,-3.027791,332005,406711,SD320067,1/1/1980 12:00:00 AM,,4,7,4,"Formby",2.8,"",""
L37 5AB,Yes,53.551088,-3.023331,332298,406537,SD322065,1/1/1980 12:00:00 AM,,4,24,14,"Formby",3.2,"",""
L37 5AD,Yes,53.538998,-3.0306,331797,405199,SD317051,1/1/1980 12:00:00 AM,,5,9,4,"Hightown",2.3,"",""
L37 5AE,Yes,53.549697,-3.019841,332527,406379,SD325063,1/1/1980 12:00:00 AM,,5,16,6,"Formby",3.4,"",""
L37 5AF,Yes,53.550722,-3.017478,332685,406491,SD326064,1/1/1980 12:00:00 AM,,4,3,2,"Formby",3.5,"",""
L37 5AG,Yes,53.551575,-3.025185,332176,406593,SD321065,1/1/1980 12:00:00 AM,,5,15,7,"Formby",3.0,"",""
L37 5AH,Yes,53.548942,-3.02097,332451,406297,SD324062,1/1/1980 12:00:00 AM,,5,9,4,"Formby",3.3,"",""
L37 5AJ,Yes,53.550151,-3.018283,332631,406428,SD326064,1/1/1980 12:00:00 AM,,5,27,11,"Formby",3.5,"",""
L37 5AL,Yes,53.547212,-3.014062,332906,406098,SD329060,1/1/1980 12:00:00 AM,,5,6,3,"Hightown",3.8,"",""
L37 5AN,Yes,53.543215,-3.045039,330847,405683,SD308056,5/1/1994 12:00:00 AM,,5,2,1,"Formby",2.1,"",""
L37 5AQ,Yes,53.548802,-3.018356,332624,406278,SD326062,1/1/1980 12:00:00 AM,,4,20,7,"Formby",3.5,"",""
L37 9BA,Yes,53.548833,-2.989858,334512,406255,SD345062,1/1/1980 12:00:00 AM,,11,10,4,"Hightown",5.2,"",""
L37 9BB,Yes,53.549072,-2.989184,334557,406281,SD345062,1/1/1980 12:00:00 AM,,12,8,3,"Hightown",5.2,"",""
L37 9BD,No,53.547493,-2.982464,335000,406099,SD350060,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,7,,,"Town Green",5.2,"",""
L37 9BE,Yes,53.562507,-3.039641,331236,407824,SD312078,1/1/1980 12:00:00 AM,,5,11,4,"Freshfield",2.2,"Formby",""
L37 9BG,Yes,53.548625,-2.997536,334003,406239,SD340062,1/1/1980 12:00:00 AM,,6,6,2,"Hightown",4.7,"",""
L37 9BQ,Yes,53.54767,-2.993468,334271,406129,SD342061,1/1/1980 12:00:00 AM,,12,5,2,"Hightown",4.9,"",""
L39 0EA,Yes,53.542062,-2.840019,344431,405374,SD444053,1/1/1980 12:00:00 AM,,74,23,11,"Aughton Park",3.9,"",""
