,Bénéficiaire,Nom du projet,Fonds,Unnamed: 3,Résumé du projet,Date de commencement,Date de fin,Investissement FEDER/FSE £m,Coût total du projet £m,% du projet cofinancé par l’UE,Localisation (code postal),Zone de partenariat économique local,Pays,Type et axe du soutien (catégorie d’intervention),postcode,id,latitude,longitude
0,Building Research Establishment Limited,Hertfordshire Low Carbon Innovation Network,ERDF,4,"Strategic Fit and Value for Money requirements met. The project will provide sector-specific support to local SMEs to develop innovative low carbon technologies for the built environment, bringing new innovations to markets, delivering jobs, growth and carbon emission reductions. VFM fulfilled against Government requirements with the 17% of the LEPs 4 C1 target being met for 9.9% of the LEPs 4 £ allocation. Total outputs proposed off er good VFM measured against average unit costs of the Operational Programme.",2016-05-01,2019-02-28,630000,1260000,0.5,WD25 9XX,Hertfordshire,England,068 Energy efficiency and demonstration projects in SMEs ,WD259XX,72908,51.7001744216989,-0.37274851503016493
1,GCGP LEP,Promoting Growth in Greater Cambridge Greater Peterborough through ERDF Facilitation,ERDF,9,"The project will provide local facilitation resource to assist potential ERDF applicants to develop project ideas, partnerships and compliant bids that have a strategic fit with the Greater Cambridge Greater Peterborough (GCGP) ESIF strategy and are compliant with the national ERDF Operational Programme. Roles to be carried out under this project include publicity; pipeline development; project development; capacity building through a programme of workshops and events; and partnership development.",2015-10-01,2018-12-31,373677,747356,0.5,PE28 4WX,Greater Cambridge & Greater Peterborough,England,123 Information and communication,PE284WX,573113,52.379569,-0.223194
2,Greater Cambridge and Greater Peterborough Local Enterprise Partnership,Promoting Growth in Greater Cambridge Greater Peterborough through ESF Facilitation,ESF,3 - Technical Assistance,"The project will provide local facilitation to support the development of a pipeline of ESF provision to meet the skills needs identified through Sector Skills Plans, previous skills analysis work carried out by GCGP and the voluntary, community and social enterprise sector in the GCGP area. The project will also support research to gather intelligence about future labour market requirements to enable ESF to deliver more provision. This work will inform the prioritisation of the remaining uncommitted ESF spend in the GCGP area via Opt-In arrangements operated by the Department for Work and Pensions, the Skills Funding Agency and the Big Lottery Fund as well as currently unallocated funding. Activities to be carried out will include publicity; pipeline development; project development; capacity building through a programme of workshops and events; and partnership development. In delivering these activities, the project will seek to promote the programme and ensure that spend and delivery targets are met while ensuring compliance with EU rules and minimising errors by forming a strong working partnership with the Managing Authority.Our objective is to ensure that ESF operations in the GCGP area are exemplary, delivering high quality, high impact projects that contribute to the aims of the national OP and local strategic economic growth aims.",2016-01-01,2020-10-31,115763,231531,0.5,PE28 4WX,Greater Cambridge & Greater Peterborough,England,123 Information and communication,PE284WX,573113,52.379569,-0.223194
3,Satellite Applications Catapult,Westcott Business Incubation Centre,ERDF,1,Incubation centre for collaboration & business opps with space sector.,2017-10-01,2020-12-31,500000,1000000,0.5,OX11 0QR,Bucks Thames Valley,England,062 Technology transfer and university-enterprise cooperation ,OX110QR,614913,51.577203,-1.309172
4,Hastings Borough Council,CHART (Connecting Hastings and Rother Together) Phase 2,ERDF,8,"Promoting self-employment, small business start-ups, supporting micro-businesses, attracting inward investment as key contributions to creating new jobs and securing economic benefits. Achieved by providing facilities, training/education, business support services, fostering and assisting local entrepreneurs and identification of employment opportunities to local candidates.",2016-10-26,2022-12-31,2073538,4147076,0.5,TN34 3UY,South East,England,097 Community led local development initiatives in urban and rural,TN343UY,182439,50.8553552921364,0.583706672278627
5,Hastings Borough Council,CHART (Connecting Hastings and Rother Together),ERDF,8,"Promoting self-employment, small business start-ups, supporting micro-businesses, attracting inward investment as key contributions to creating new jobs and securing economic benefits. Achieved by providing facilities, training/education, business support services, fostering and assisting local entrepreneurs and identification of employment opportunities to local candidates.",2016-03-01,2016-08-31,9875,19750,0.5,TN34 3UY,South East,England,097 Community led local development initiatives in urban and rural,TN343UY,182439,50.8553552921364,0.583706672278627
6,Hastings Borough Council,CHART CLLD,ESF,1- Inclusive Labour Markets,"This preparatory project will establish a Local Action Group, CLLD Strategy and appropriate Accountable Body.The CLLD strategy will directly target people in the 20% most deprived communities within Hastings and Bexhill and connect them to skills development, jobs and entrepreneurial activity.Local people will be engaged through neighbourhood and beneficiary forums. Beneficiaries will be represented on the LAG and have an on-going role in the direction of the programme.Consultation will be undertaken by the accountable body and delivery partners with an external consultant procured to support this process and the establishment of a LAG, Strategy and Action Plan.",2016-03-01,2016-08-31,9875,19750,0.5,TN34 3UY,South East,England,114 Community-led local development strategies,TN343UY,182439,50.8553552921364,0.583706672278627
7,Hastings Borough Council,CHART (Connecting Hastings and Rother Together),ESF,1 - Inclusive Labour Markets,"CHART has been developed to shape and deliver responses to the severe, persistent and long lasting levels of exclusion, unemployment and disadvantage experienced by residents in parts of our towns, and aims to unlock local potential and help build a sustainable inclusive and prosperous economy and labour market. The CHART strategy, through IMD reports (2010) and SWOT analysis, demonstrates how previous and current funding programmes have not met this need, in particular arising from the short-term nature of traditional funded intervention, which a longer programme under CLLD will address. Through the development of the LAG, and the ambition of the CHART grants programme, it will encourage providers and local actors to work closer together, linking with statutory and non-statutory public sector services and investment, to produce a more coherent package of interventions delivered over a longer term. ",2016-10-26,2022-12-31,1625000,3250000,0.5,TN34 3UY,South East,England,114 Community-led local development initiatives,TN343UY,182439,50.8553552921364,0.583706672278627
8,Ngage Solutions,High Achieving Local Organisations (HALO),ERDF,3,"Strategic Fit and value for Money requirements met. The project provides business advice, mentoring, peer-to-peer support and grants to local SMEs. It is indicated that the BTV LEP area has the lowest level of small business growth in England . The project's key objective is to address this deficiency and promote growth. The project across Output Indicators proposes to deliver, on average, 63% of the LEP Area targets for only 15.69% of LEP funds. Additionally the project's average unit costs in delivering targets is significantly below the Operational Programme's benchmark re. average unit costs.  On this basis the project meets VfM requirements.",2016-09-01,2019-06-30,500000,1000000,0.5,HP14 4BF,Bucks Thames Valley,England,"067 SME business development, support to entrepreneurship",HP144BF,1065233,51.674787,-0.821072
9,Ngage Solutions,The SMILE Project,ERDF,4,"Strategic Fit and Value for Money requirements met. Reduce business eneregy costs & reduce high carbon footprints. Provision of Capital and Revenue grants to enable SMEs to introduce energy efficiency changes to business premises and/or processes, reduce energy costs, heat loss and improve energy control. VFM fulfilled against Government requirements. Total outputs proposed offer good VFM measured against average unit costs of the Operational Programme.   The project will deliver an average of 80.48% of the overall targets in Hertfordshire, 46.68% in Buckinghamshire and 42.25% in the Black Country",2016-12-01,2019-11-30,2500000,5000000,0.5,HP14 4BF,Bucks Thames Valley,England,068 Energy efficiency and demonstration projects in SMEs ,HP144BF,1065233,51.674787,-0.821072
