grid_id,external_id_type,external_id
grid.1001.0,ISNI,0000 0001 2180 7477
grid.1001.0,FundRef,501100000995
grid.1001.0,FundRef,100009020
grid.1001.0,FundRef,501100001151
grid.1001.0,OrgRef,285106
grid.1001.0,Wikidata,Q127990
grid.1002.3,ISNI,0000 0004 1936 7857
grid.1002.3,FundRef,501100001779
grid.1002.3,FundRef,501100001144
grid.1002.3,FundRef,501100007917
grid.1002.3,FundRef,501100006532
grid.1002.3,FundRef,501100000991
grid.1002.3,FundRef,501100001198
grid.1002.3,OrgRef,149620
grid.1002.3,Wikidata,Q598841
grid.1003.2,ISNI,0000 0000 9320 7537
grid.1003.2,FundRef,501100001794
grid.1003.2,FundRef,501100008407
grid.1003.2,FundRef,501100005268
grid.1003.2,OrgRef,192819
grid.1003.2,Wikidata,Q866012
grid.1004.5,ISNI,0000 0001 2158 5405
grid.1004.5,FundRef,501100001230
grid.1004.5,OrgRef,19735
grid.1004.5,Wikidata,Q741082
grid.1005.4,ISNI,0000 0004 4902 0432
grid.1005.4,FundRef,501100001773
grid.1005.4,FundRef,501100001143
grid.1005.4,FundRef,501100007281
grid.1005.4,FundRef,501100002204
grid.1005.4,FundRef,501100001156
grid.1005.4,OrgRef,146078
grid.1005.4,OrgRef,16766976
grid.1005.4,Wikidata,Q734764
grid.1006.7,ISNI,0000 0001 0462 7212
grid.1006.7,FundRef,501100008406
grid.1006.7,FundRef,501100000774
grid.1006.7,HESA,0154
grid.1006.7,UCAS,N21
grid.1006.7,UKPRN,10007799
grid.1006.7,OrgRef,203338
grid.1006.7,OrgRef,4329975
grid.1006.7,Wikidata,Q837164
grid.1007.6,ISNI,0000 0004 0486 528X
grid.1007.6,FundRef,501100001777
grid.1007.6,OrgRef,461935
grid.1007.6,Wikidata,Q1350021
grid.1008.9,ISNI,0000 0001 2179 088X
grid.1008.9,FundRef,501100001782
grid.1008.9,FundRef,501100007961
grid.1008.9,FundRef,100008758
grid.1008.9,FundRef,501100000986
grid.1008.9,FundRef,501100000987
grid.1008.9,FundRef,501100001052
grid.1008.9,OrgRef,363594
grid.1008.9,OrgRef,47000931
grid.1008.9,OrgRef,3917352
grid.1008.9,OrgRef,1007776
grid.1008.9,OrgRef,6839809
grid.1008.9,OrgRef,6954088
grid.1008.9,Wikidata,Q319078
grid.1009.8,ISNI,0000 0004 1936 826X
