grid_id,iso639,label
grid.1013.3,en,University of Sydney
grid.1035.7,pl,Politechnika Warszawska
grid.1374.1,sv,Åbo universitet
grid.1374.1,fi,Turun yliopisto
grid.1463.0,fr,Recherche & développement pour la défense Canada
grid.1649.a,sv,Sahlgrenska Universitetssjukhuset
grid.1957.a,de,Rheinisch-Westfälische Technische Hochschule Aachen
grid.2134.4,en,Nortel
grid.2865.9,es,Servicio Geológico de los Estados Unidos
grid.3532.7,es,Administración Nacional Oceánica y Atmosférica
grid.3575.4,it,Organizzazione mondiale della sanità
grid.3575.4,fr,Organisation mondiale de la santé
grid.3575.4,de,Weltgesundheitsorganisation
grid.4241.3,fr,École polytechnique d'athènes
grid.4241.3,el,Εθνικό Μετσόβιο Πολυτεχνείο
grid.4280.e,zh,新加坡国立大学
grid.4280.e,ta,சிங்கப்பூர் தேசியப் பல்கலைக்கழகம்
grid.4293.c,it,Istituto Nazionale di Astrofisica
grid.4299.6,sl,Avstrijska akademija znanosti
grid.4299.6,hu,Osztrák Tudományos Akadémia
grid.4299.6,de,Österreichische Akademie der Wissenschaften
grid.4305.2,cy,Prifysgol Caeredin
grid.4307.0,fr,Observatoire de paris
grid.4307.0,eu,Parisko Behatokia
grid.4307.0,ca,Observatori de París
grid.4319.f,en,The Foundation for Scientific and Industrial Research
grid.4336.2,it,Istituto Nazionale di Oceanografia e Geofisica Sperimentale
grid.4365.4,fr,Office National d’Études et de Recherches Aéronautiques
grid.4367.6,fr,Université washington à saint-louis
grid.4367.6,es,Universidad Washington en San Luis
grid.4372.2,de,Max-Planck-Gesellschaft zur Förderung der Wissenschaften
grid.4391.f,fr,Université d'État de l'oregon
grid.4391.f,es,Universidad Estatal de Oregón
grid.4399.7,fr,Institut de Recherche pour le Développement
grid.4422.0,zh,中国海洋大学
grid.4425.7,cy,"Prifysgol John Moores, Lerpwl"
grid.4437.4,fr,Organisation Panaméricaine de la Santé
grid.4437.4,es,Organización Panamericana de la Salud
grid.4444.0,br,Centre National de la Recherche Scientifique
grid.4444.0,ca,Centre national de la recherche scientifique
grid.4444.0,fr,Centre national de la recherche scientifique
grid.4461.7,fr,Université Lille 1
grid.4463.5,fr,Université du pirée
grid.4463.5,el,Πανεπιστήμιο Πειραιώς
grid.4464.2,cy,Prifysgol Llundain
grid.4466.0,fr,École polytechnique de bari
grid.4466.0,it,Politecnico di Bari
grid.4488.0,de,Technische Universität Dresden
grid.4489.1,eu,Granadako Unibertsitatea
grid.4489.1,es,Universidad de Granada
grid.4491.8,sk,Univerzita Karlova
grid.4494.d,nl,Universitair Medisch Centrum Groningen
grid.4495.c,pl,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu
grid.4514.4,sv,Lunds universitet
grid.4514.4,fi,Lundin yliopisto
grid.4521.2,gl,Universidade das Palmas de Gran Canaria
grid.4521.2,es,Universidad de Las Palmas de Gran Canaria
grid.4527.4,it,Instituto di Ricerche Farmacologiche Mario Negri
grid.4551.5,ro,Universitatea Politehnica din București
grid.4556.2,de,Potsdam-Institut für Klimafolgenforschung
grid.4561.6,de,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.
grid.4562.5,de,Universität zu Lübeck
grid.4563.4,cy,Prifysgol Nottingham
grid.4567.0,de,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt
grid.4605.7,ru,Новосибирский государственный университет
grid.4643.5,fr,École polytechnique de milan
grid.4643.5,de,Polytechnikum Mailand
grid.4643.5,it,Politecnico di Milano
grid.4691.a,fr,Université de naples - frédéric-ii
grid.4691.a,de,Universität Neapel Federico II
grid.4691.a,ca,Universitat de Nàpols Frederic II
grid.4691.a,it,Università degli Studi di Napoli Federico II
grid.4708.b,fr,Université de milan
grid.4708.b,de,Universität Mailand
grid.4708.b,ca,Universitat de Milà
grid.4708.b,it,Università degli Studi di Milano
grid.4709.a,de,Europäisches Laboratorium für Molekularbiologie
grid.4711.3,gl,Consello Superior de Investigacións Científicas
grid.4711.3,ca,Consell Superior d'Investigacions Científiques
grid.4711.3,es,Consejo Superior de Investigaciones Científicas
grid.4714.6,fi,Karoliininen instituutti
grid.4764.1,en,German National Metrology Institute
grid.4777.3,cy,"Prifysgol y Frenhines, Belffast"
grid.4793.9,fr,Université aristote de thessalonique
grid.4793.9,el,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης
grid.4795.f,gl,Universidade Complutense de Madrid
grid.4795.f,eu,Madrilgo Complutense Unibertsitatea
grid.4795.f,es,Universidad Complutense de Madrid
grid.4800.c,it,Politecnico di Torino
grid.4800.c,fr,École polytechnique de turin
grid.4807.b,gl,Universidade de León
grid.4807.b,es,Universidad de León
grid.4808.4,sr,Свеучилиште у Загребу
grid.4808.4,hr,Sveučilište u Zagrebu
grid.4817.a,fr,Université de Nantes
grid.4818.5,nl,Wageningen University & Research centre
grid.4819.4,de,Hochschule Weihenstephan-Triesdorf
grid.4825.b,fr,Institut Français de Recherche pour l'Exploitation de la Mer
grid.4827.9,cy,Prifysgol Abertawe
grid.4830.f,nl,Rijksuniversiteit Groningen
grid.4834.b,el,Ίδρυμα Τεχνολογίας και Έρευνας
grid.4836.9,hu,Magyar Tudományos Akadémia Számítástechnikai és Automatizálási Kutatóintézete
grid.4839.6,pt,Pontifícia Universidade Católica do Rio de Janeiro
grid.4842.a,cs,Univerzita Hradec Králové
grid.4858.1,nl,Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek
grid.4861.b,nl,Universiteit van Luik
grid.4861.b,de,Universität Lüttich
grid.4861.b,fr,Université de Liège
grid.4862.8,cy,Prifysgol Glyndŵr
grid.4868.2,cy,"Queen Mary, Prifysgol Llundain"
grid.4886.2,ru,Российская академия наук
grid.4905.8,hr,Institut Ruđer Bošković
grid.4912.e,ga,Coláiste Ríoga na Máinlianna in Éirinn
grid.4947.e,en,Regional Agency for Environmental Protection in the Emilia-Romagna region
grid.4987.2,hu,Atomenergia Kutatóintézet
grid.4989.c,en,Free University of Brussels
grid.4991.5,cy,Prifysgol Rhydychen
grid.4991.5,en,University of Oxford
grid.4994.0,cs,Vysoké učení technické v Brně
grid.5012.6,nl,Rijksuniversiteit Limburg
grid.5018.c,hu,Magyar Tudományos Akadémia
grid.5037.1,sv,Kungliga Tekniska högskolan
grid.5037.1,fi,Kuninkaallinen teknillinen korkeakoulu
grid.5098.4,tr,Ulusal ve Uluslararası Ekonomi Üniversitesi
grid.5098.4,bg,Университет за национално и световно стопанство
grid.5100.4,ro,Universitatea din București
grid.5100.4,hu,Bukaresti Egyetem
grid.5110.5,sl,Univerza v Gradcu
grid.5110.5,hr,Sveučilište u Grazu
grid.5110.5,de,Karl-Franzens-Universität Graz
grid.5115.0,cy,Prifysgol Anglia Ruskin
grid.5117.2,da,Aalborg Universitet
grid.5120.6,ro,Universitatea Transilvania din Brașov
grid.5132.5,nl,Universiteit Leiden
grid.5133.4,sl,Univerza v Trstu
grid.5133.4,fr,Université de trieste
grid.5133.4,de,Universität Triest
grid.5133.4,it,Università degli Studi di Trieste
grid.5146.6,hu,Közép-európai Egyetem
grid.5155.4,de,Universität Kassel
grid.5164.6,de,Technische Universität Clausthal
grid.5170.3,de,Dänemarks Technische Universität
grid.5170.3,da,Danmarks Tekniske Universitet
grid.5173.0,de,Universität für Bodenkultur Wien
grid.5196.b,en,"Italian National Agency for New Technologies, Energy and Sustainable Economic Development"
grid.5196.b,it,"Agenzia nazionale per le nuove tecnologie, l'energia e lo sviluppo economico sostenibile"
grid.5216.0,fr,Université nationale et capodistrienne d'athènes
grid.5216.0,el,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών
grid.5239.d,gl,Universidade de Valladolid
grid.5239.d,eu,Valladolideko Unibertsitatea
grid.5239.d,es,Universidad de Valladolid
grid.5252.0,de,Ludwig-Maximilians-Universität München
grid.5253.1,de,Universitätsklinikum Heidelberg
grid.5254.6,de,Universität Kopenhagen
grid.5254.6,da,Københavns Universitet
grid.5259.b,pl,Uniwersytet Michała Römera
grid.5259.b,lt,Mykolo Romerio universitetas
grid.5268.9,ca,Universitat d'Alacant
grid.5268.9,es,Universidad de Alicante
grid.5284.b,fr,Université d'anvers
grid.5284.b,de,Universität Antwerpen
grid.5284.b,nl,Universiteit Antwerpen
grid.5290.e,ja,早稲田大学
grid.5292.c,nl,Technische Universiteit Delft
grid.5319.e,gl,Universidade de Xirona
grid.5319.e,es,Universidad de Gerona
grid.5319.e,ca,Universitat de Girona
grid.5326.2,fr,Conseil national de la recherche
grid.5326.2,it,Consiglio Nazionale Delle Ricerche
grid.5328.c,fr,Institut national de recherche en informatique et en automatique
grid.5329.d,de,Technische Universität Wien
grid.5330.5,de,Friedrich-Alexander-Universität Erlangen-Nürnberg
grid.5333.6,en,Swiss Federal Institute of Technology in Lausanne
grid.5334.1,tr,Sabancı Üniversitesi
grid.5335.0,cy,Prifysgol Caergrawnt
grid.5337.2,cy,Prifysgol Bryste
