Project_webSummary, Project Title, Project N�, Project Website, Year Of Finance, Lead Partner Country, Type Of Beneficiary, Country, Themes, Keywords, Habitats, Species
index.cfm?fuseaction=search.dspPage&n_proj_id=6698,LIFE DICCA - Climate Change Adaption of the Ecosystem Danube Island,LIFE17 CCA/AT/000077,,2017,AT,Local authority,Österreich,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6699,LIFE UrbanStorm - Development of sustainable and climate resilient urban storm water management systems for Nordic municipalities,LIFE17 CCA/EE/000122,,2017,EE,Local authority,Estonia Eesti,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6708,LIFE RESILIENCE - Prevention of X. fastidiosa in intensive olive & almond plantations applying productive green farming practices,LIFE17 CCA/ES/000030,,2017,ES,SME Small and medium sized enterprise,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6709,LIFE LiveAdapt - Adaptation to Climate Change of Extensive Livestock Production Models in Europe,LIFE17 CCA/ES/000035,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6710,"LIFE RESILIENT FORESTS - Coupling water, fire and climate resilience with biomass production in Forestry to adapt watersheds to climate change",LIFE17 CCA/ES/000063,,2017,ES,University,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6711,LIFE-myBUILDINGisGREEN - Application of Nature-Based Solutions for local adaptation of educational and social buildings to Climate Change,LIFE17 CCA/ES/000088,,2017,ES,Research institution,España,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6700,LIFE #CC #Naturadapt - Adapting nature protection to the challenges of climate change in Europe : basis of dynamic collective learning,LIFE17 CCA/FR/000089,,2017,FR,NGO-Foundation,France,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6701,LIFE ASTI - Implementation of a forecAsting System for urban heaT Island effect for the development of urban adaptation strategies,LIFE17 CCA/GR/000108,,2017,GR,University,Ellas,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6703,GREAT  LIFE - Growing REsilience AgricolTure - Life,LIFE17 CCA/IT/000067,,2017,IT,University,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6704,LIFE URBANGREEN - Innovative technological platform to improve management of green areas for better climate adaptation,LIFE17 CCA/IT/000079,"https://www.lifeurbangreen.eu/,",2017,IT,Large enterprise,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6702,LIFE METRO ADAPT - METRO ADAPT: enhancing climate change adaptation strategies and measures in the Metropolitan City of Milan,LIFE17 CCA/IT/000080,,2017,IT,Local authority,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6813,LIFE SimetoRES - Urban adaptation and community learning for a RESilient Simeto Valley,LIFE17 CCA/IT/000115,,2017,IT,Local authority,Italia,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6843,"LIFE Local Water Adapt - LIFE Local Water Adapt; innovative Collective, Adaptive Water Management.",LIFE17 CCA/NL/000043,,2017,NL,Large enterprise,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6705,Farm LIFE - Farming the Future – Building Rural Networks for Climate-Adaptive Agriculture,LIFE17 CCA/NL/000093,,2017,NL,University,Nederland,,,,
index.cfm?fuseaction=search.dspPage&n_proj_id=6706,"LIFE AGUA DE PRATA - AGUA DE PRATA - Adaptation and Watering in Green Urban Areas facing Climatic Heat Waves, Drought and Extreme Storms",LIFE17 CCA/PT/000076,,2017,PT,Local authority,Portugal,,,,
