,project_websummary,project_title,project_no,project_website,year_of_finance,lead_partner_country,type_of_beneficiary,country,themes,keywords,habitats,species,base_url,project_url,project_id,Unnamed: 0_x,area_code,area_name,area_type,postcode,clean_postcode,id,latitude,longitude,Unnamed: 0_y,coordinator,total_budget,eu_contribution,background
0,index.cfm?fuseaction=search.dspPage&n_proj_id=6690,Celtic Rainforests LIFE - Restoring the Celtic Temperate Rainforest of Wales toward Favourable Conservation Status,LIFE17 NAT/UK/000020,,2017,UK,Park-Reserve authority,United Kingdom,,,"&quot;Tilio-Acerion forests of slopes, screes and ravines&quot; / Old sessile oak woods with Ilex and Blechnum in the British Isles /",,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=6690,6690,0.0,UK9014111,Elenydd - Mallaen,SPA,SY25 6ET,SY25 6ET,226626,52.279451088589,-3.81582253876934,1,Snowdonia National Park Authority,9512759.0,5707655.0,"The Celtic Rainforests are regarded as the ‘temperate rainforests’ of Europe, owing to their open woodland structure, mild and humid conditions, and rich plant assemblages. They mainly comprise a mosaic of two Annex 1 Habitats Directive woodland habitats: ‘Old sessile oak woods with Ilex and Blechnum in the British Isles’ and ‘Tilio-Acerion forests of slopes, screes and ravines’. However, the conservation status of these two habitats is ‘unfavourable-bad and declining’ and ‘unfavourable-bad’ at the Atlantic biogeographic level. The primary cause is invasion by non-native plant species, especially the shrub Rhododendron ponticum, which alters light and soil conditions, outcompetes native flora and suppresses regeneration. Among the other threats are over- or under-grazing, a lack of management, and atmospheric nitrogen pollution. The UK holds around 95% of the old sessile woods and 70% of the Tilio-Acerion forest habitats, and therefore has a particular responsibility to return these habitats to a ‘favourable’ conservation status."
1,index.cfm?fuseaction=search.dspPage&n_proj_id=6690,Celtic Rainforests LIFE - Restoring the Celtic Temperate Rainforest of Wales toward Favourable Conservation Status,LIFE17 NAT/UK/000020,,2017,UK,Park-Reserve authority,United Kingdom,,,"&quot;Tilio-Acerion forests of slopes, screes and ravines&quot; / Old sessile oak woods with Ilex and Blechnum in the British Isles /",,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=6690,6690,1.0,UK0012946,Eryri/ Snowdonia,SCI,LL24 0EU,LL24 0EU,894708,53.122581,-3.956668,1,Snowdonia National Park Authority,9512759.0,5707655.0,"The Celtic Rainforests are regarded as the ‘temperate rainforests’ of Europe, owing to their open woodland structure, mild and humid conditions, and rich plant assemblages. They mainly comprise a mosaic of two Annex 1 Habitats Directive woodland habitats: ‘Old sessile oak woods with Ilex and Blechnum in the British Isles’ and ‘Tilio-Acerion forests of slopes, screes and ravines’. However, the conservation status of these two habitats is ‘unfavourable-bad and declining’ and ‘unfavourable-bad’ at the Atlantic biogeographic level. The primary cause is invasion by non-native plant species, especially the shrub Rhododendron ponticum, which alters light and soil conditions, outcompetes native flora and suppresses regeneration. Among the other threats are over- or under-grazing, a lack of management, and atmospheric nitrogen pollution. The UK holds around 95% of the old sessile woods and 70% of the Tilio-Acerion forest habitats, and therefore has a particular responsibility to return these habitats to a ‘favourable’ conservation status."
2,index.cfm?fuseaction=search.dspPage&n_proj_id=6690,Celtic Rainforests LIFE - Restoring the Celtic Temperate Rainforest of Wales toward Favourable Conservation Status,LIFE17 NAT/UK/000020,,2017,UK,Park-Reserve authority,United Kingdom,,,"&quot;Tilio-Acerion forests of slopes, screes and ravines&quot; / Old sessile oak woods with Ilex and Blechnum in the British Isles /",,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=6690,6690,2.0,UK0014789,Coedydd Derw a Safleoedd Ystlumod Meirion/ Meirionnydd Oakwoods and Bat Sites,SCI,LL40 2HW,LL40 2HW,890808,52.795406,-3.891012,1,Snowdonia National Park Authority,9512759.0,5707655.0,"The Celtic Rainforests are regarded as the ‘temperate rainforests’ of Europe, owing to their open woodland structure, mild and humid conditions, and rich plant assemblages. They mainly comprise a mosaic of two Annex 1 Habitats Directive woodland habitats: ‘Old sessile oak woods with Ilex and Blechnum in the British Isles’ and ‘Tilio-Acerion forests of slopes, screes and ravines’. However, the conservation status of these two habitats is ‘unfavourable-bad and declining’ and ‘unfavourable-bad’ at the Atlantic biogeographic level. The primary cause is invasion by non-native plant species, especially the shrub Rhododendron ponticum, which alters light and soil conditions, outcompetes native flora and suppresses regeneration. Among the other threats are over- or under-grazing, a lack of management, and atmospheric nitrogen pollution. The UK holds around 95% of the old sessile woods and 70% of the Tilio-Acerion forest habitats, and therefore has a particular responsibility to return these habitats to a ‘favourable’ conservation status."
3,index.cfm?fuseaction=search.dspPage&n_proj_id=6690,Celtic Rainforests LIFE - Restoring the Celtic Temperate Rainforest of Wales toward Favourable Conservation Status,LIFE17 NAT/UK/000020,,2017,UK,Park-Reserve authority,United Kingdom,,,"&quot;Tilio-Acerion forests of slopes, screes and ravines&quot; / Old sessile oak woods with Ilex and Blechnum in the British Isles /",,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=6690,6690,3.0,UK0030117,Coed Cwm Einion,SCI,SY20 8TE,SY20 8TE,229335,52.535490751164104,-3.93074920440347,1,Snowdonia National Park Authority,9512759.0,5707655.0,"The Celtic Rainforests are regarded as the ‘temperate rainforests’ of Europe, owing to their open woodland structure, mild and humid conditions, and rich plant assemblages. They mainly comprise a mosaic of two Annex 1 Habitats Directive woodland habitats: ‘Old sessile oak woods with Ilex and Blechnum in the British Isles’ and ‘Tilio-Acerion forests of slopes, screes and ravines’. However, the conservation status of these two habitats is ‘unfavourable-bad and declining’ and ‘unfavourable-bad’ at the Atlantic biogeographic level. The primary cause is invasion by non-native plant species, especially the shrub Rhododendron ponticum, which alters light and soil conditions, outcompetes native flora and suppresses regeneration. Among the other threats are over- or under-grazing, a lack of management, and atmospheric nitrogen pollution. The UK holds around 95% of the old sessile woods and 70% of the Tilio-Acerion forest habitats, and therefore has a particular responsibility to return these habitats to a ‘favourable’ conservation status."
4,index.cfm?fuseaction=search.dspPage&n_proj_id=6690,Celtic Rainforests LIFE - Restoring the Celtic Temperate Rainforest of Wales toward Favourable Conservation Status,LIFE17 NAT/UK/000020,,2017,UK,Park-Reserve authority,United Kingdom,,,"&quot;Tilio-Acerion forests of slopes, screes and ravines&quot; / Old sessile oak woods with Ilex and Blechnum in the British Isles /",,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=6690,6690,4.0,UK0030128,Cwm Doethie - Mynydd Mallaen,SCI,SA20 0PN,SA20 0PN,411512,52.09875,-3.826825,1,Snowdonia National Park Authority,9512759.0,5707655.0,"The Celtic Rainforests are regarded as the ‘temperate rainforests’ of Europe, owing to their open woodland structure, mild and humid conditions, and rich plant assemblages. They mainly comprise a mosaic of two Annex 1 Habitats Directive woodland habitats: ‘Old sessile oak woods with Ilex and Blechnum in the British Isles’ and ‘Tilio-Acerion forests of slopes, screes and ravines’. However, the conservation status of these two habitats is ‘unfavourable-bad and declining’ and ‘unfavourable-bad’ at the Atlantic biogeographic level. The primary cause is invasion by non-native plant species, especially the shrub Rhododendron ponticum, which alters light and soil conditions, outcompetes native flora and suppresses regeneration. Among the other threats are over- or under-grazing, a lack of management, and atmospheric nitrogen pollution. The UK holds around 95% of the old sessile woods and 70% of the Tilio-Acerion forest habitats, and therefore has a particular responsibility to return these habitats to a ‘favourable’ conservation status."
5,index.cfm?fuseaction=search.dspPage&n_proj_id=6690,Celtic Rainforests LIFE - Restoring the Celtic Temperate Rainforest of Wales toward Favourable Conservation Status,LIFE17 NAT/UK/000020,,2017,UK,Park-Reserve authority,United Kingdom,,,"&quot;Tilio-Acerion forests of slopes, screes and ravines&quot; / Old sessile oak woods with Ilex and Blechnum in the British Isles /",,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=6690,6690,5.0,UK0030145,Coetiroedd Cwm Elan/ Elan Valley Woodlands,SCI,LD6 5HR,LD6 5HR,925489,52.267414,-3.566632,1,Snowdonia National Park Authority,9512759.0,5707655.0,"The Celtic Rainforests are regarded as the ‘temperate rainforests’ of Europe, owing to their open woodland structure, mild and humid conditions, and rich plant assemblages. They mainly comprise a mosaic of two Annex 1 Habitats Directive woodland habitats: ‘Old sessile oak woods with Ilex and Blechnum in the British Isles’ and ‘Tilio-Acerion forests of slopes, screes and ravines’. However, the conservation status of these two habitats is ‘unfavourable-bad and declining’ and ‘unfavourable-bad’ at the Atlantic biogeographic level. The primary cause is invasion by non-native plant species, especially the shrub Rhododendron ponticum, which alters light and soil conditions, outcompetes native flora and suppresses regeneration. Among the other threats are over- or under-grazing, a lack of management, and atmospheric nitrogen pollution. The UK holds around 95% of the old sessile woods and 70% of the Tilio-Acerion forest habitats, and therefore has a particular responsibility to return these habitats to a ‘favourable’ conservation status."
6,index.cfm?fuseaction=search.dspPage&n_proj_id=5344,SciuriousLIFE - Sciuriosity - Evolving IAS grey squirrel management techniques in the UK.,LIFE14 NAT/UK/000467,"http://www.redsquirrelsunited.org.uk,",2014,UK,NGO-Foundation,United Kingdom,Biodiversity issues ~ Invasive species / Habitats ~ Forests /,forest ecosystem /,Non applicable (i.e.species project) /,None or non applicable /,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5344,5344,66.0,UK0012946,Eryri/ Snowdonia,SCI,LL24 0EU,LL24 0EU,894708,53.122581,-3.956668,24,Royal Society of Wildlife Trusts,2699565.0,1619741.0,"The presence of the invasive alien grey squirrel (<i>Sciurus carolinensis</i>) in the UK is detrimental to several native species and the overall health and resilience of affected woodland ecosystems. The native Eurasian red squirrel (<i>Sciurus vulgaris</i>) is particularly threatened by grey squirrels, but to date there has been no clear pan to stem its population growth. A collaborative management framework that crosses administrative boundaries is required. Currently, the approach to grey squirrel management lacks coordination, focus and adequate funding. Anglesey is a 720 km2 island in North Wales from which grey squirrels have recently been eradicated."
7,index.cfm?fuseaction=search.dspPage&n_proj_id=5344,SciuriousLIFE - Sciuriosity - Evolving IAS grey squirrel management techniques in the UK.,LIFE14 NAT/UK/000467,"http://www.redsquirrelsunited.org.uk,",2014,UK,NGO-Foundation,United Kingdom,Biodiversity issues ~ Invasive species / Habitats ~ Forests /,forest ecosystem /,Non applicable (i.e.species project) /,None or non applicable /,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5344,5344,67.0,UK0013076,Sefton Coast,SCI,L37 1LB,L37 1LB,944932,53.579221,-3.068689,24,Royal Society of Wildlife Trusts,2699565.0,1619741.0,"The presence of the invasive alien grey squirrel (<i>Sciurus carolinensis</i>) in the UK is detrimental to several native species and the overall health and resilience of affected woodland ecosystems. The native Eurasian red squirrel (<i>Sciurus vulgaris</i>) is particularly threatened by grey squirrels, but to date there has been no clear pan to stem its population growth. A collaborative management framework that crosses administrative boundaries is required. Currently, the approach to grey squirrel management lacks coordination, focus and adequate funding. Anglesey is a 720 km2 island in North Wales from which grey squirrels have recently been eradicated."
8,index.cfm?fuseaction=search.dspPage&n_proj_id=5344,SciuriousLIFE - Sciuriosity - Evolving IAS grey squirrel management techniques in the UK.,LIFE14 NAT/UK/000467,"http://www.redsquirrelsunited.org.uk,",2014,UK,NGO-Foundation,United Kingdom,Biodiversity issues ~ Invasive species / Habitats ~ Forests /,forest ecosystem /,Non applicable (i.e.species project) /,None or non applicable /,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5344,5344,65.0,UK0012923,"Border Mires, Kielder - Butterburn",SCI,NE48 1EU,NE48 1EU,734704,55.272931666464395,-2.5301660047607597,24,Royal Society of Wildlife Trusts,2699565.0,1619741.0,"The presence of the invasive alien grey squirrel (<i>Sciurus carolinensis</i>) in the UK is detrimental to several native species and the overall health and resilience of affected woodland ecosystems. The native Eurasian red squirrel (<i>Sciurus vulgaris</i>) is particularly threatened by grey squirrels, but to date there has been no clear pan to stem its population growth. A collaborative management framework that crosses administrative boundaries is required. Currently, the approach to grey squirrel management lacks coordination, focus and adequate funding. Anglesey is a 720 km2 island in North Wales from which grey squirrels have recently been eradicated."
9,index.cfm?fuseaction=search.dspPage&n_proj_id=64,Natura 2000 sites in Wales - Integrating monitoring with management planning:  a demonstration of good practice on Natura 2000 sites in Wales,LIFE95 NAT/UK/000821,,1995,UK,,United Kingdom,Information - Governance ~ Environmental training - Capacity building /,coastal area / decision making support / forest ecosystem / monitoring system / protected area / survey /,Specific (i.e.for technical reasons or specific issue) /,None or non applicable /,http://ec.europa.eu/environment/life/project/Projects/,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=64,64,319.0,UK0012946,Eryri/ Snowdonia,SCI,LL24 0EU,LL24 0EU,894708,53.122581,-3.956668,196,Countryside Council for Wales,786000.0,393000.0,"The main objective of this project is to develop a monitoring methodology for all the terrestrial habitat types listed in Annex I of the Habitats Directive which are found within the proposed NATURA 2000 sites in Wales. This will include seven 'priority' habitat types, such as fixed coastal dunes, ravine and alluvial forests and yew woodlands, raised and blanket bogs and calcareous fens, plus a further 18 habitat types ranging from sea cliffs, heaths and grasslands, to oak and beech woodlands and open mountain habitats. These habitats occur in a series of 20 potential NATURA 2000 sites throughout Wales, for which monitoring programmes and baseline data will be produced. The final output from the work will be a series of publications on the monitoring methodology and training in its application for the benefit of NATURA 2000 site managers elsewhere in the Community.The effectiveness of the Habitats Directive in ensuring the protection of those habitat types and species of European importance listed in its annexes I and II can only be judged if the habitats and species are monitored adequately. While there already exists some experience on the monitoring of a range of habitat types, no work has, as yet, been undertaken to develop standards for monitoring in support of the Directive. As the network of Special Areas of Conservation (NATURA 2000) will form a vital foundation for the conservation of these habitats and species, it is important that monitoring programmes are developed to determine their favourable conservation status. 

By targeting the proposed SACs in Wales, this project aims to develop a standardised and efficient habitat monitoring programme linked with management plans for NATURA 2000 sites in the Region which can act as a demonstration tool for other areas within the EU."
