,project_id,coordinator,total_budget,eu_contribution,background
0,6667,The Royal Society for the Protection of Birds,1350145.00,810087.00,"Invasive mammal predators represent one of the most serious threats worldwide to seabirds breeding on islands. Seabirds tend to be ground-nesting, colonial and unfamiliar with carnivorous mammals, and can therefore suffer very large and rapid declines if exposed to such predators."
1,6690,Snowdonia National Park Authority,9512759.00,5707655.00,"The Celtic Rainforests are regarded as the ‘temperate rainforests’ of Europe, owing to their open woodland structure, mild and humid conditions, and rich plant assemblages. They mainly comprise a mosaic of two Annex 1 Habitats Directive woodland habitats: ‘Old sessile oak woods with Ilex and Blechnum in the British Isles’ and ‘Tilio-Acerion forests of slopes, screes and ravines’. However, the conservation status of these two habitats is ‘unfavourable-bad and declining’ and ‘unfavourable-bad’ at the Atlantic biogeographic level. The primary cause is invasion by non-native plant species, especially the shrub Rhododendron ponticum, which alters light and soil conditions, outcompetes native flora and suppresses regeneration. Among the other threats are over- or under-grazing, a lack of management, and atmospheric nitrogen pollution. The UK holds around 95% of the old sessile woods and 70% of the Tilio-Acerion forest habitats, and therefore has a particular responsibility to return these habitats to a ‘favourable’ conservation status."
2,6689,Natural  Resources Wales,4729029.00,3546771.00,"Sand dunes across Europe are currently in a phase of dune stability and so lack dynamic conditions. In the UK, all the Habitat Directive Annex I sand dune habitats are in ‘Unfavourable’ conservation status due to such stabilisation, which leads to the loss or decline of those species which depend upon bare sand and early successional sand dune stages. Wales accounts for 11 % (8 101 ha) of the total UK sand dune resource, including rare and threatened dune habitats. The re-introduction of dynamic processes is therefore vital for the conservation of the full range of sand dune habitats."
3,6688,The Royal Society for the Protection of Birds,5495050.00,3295746.00,"The Orkney Islands are naturally free of terrestrial mammalian predators, which has allowed many bird species to flourish. However, in 2010, the non-native European stoat <i>Mustela erminea</i> was sighted on Orkney Mainland and has now spread to two other islands.  In this largely treeless landscape, most birds are ground-nesting and therefore exposed to the threat of predation by introduced mammals. The impacts of the introduced non-native stoat on Orkney’s native wildlife are therefore predicted to be severe, and could lead to dramatic declines in populations of the species listed in the Birds Directive on the Orkney Islands."
4,6812,Natural England,8522712.00,5113627.00,"A decline in the quality of sand dune habitats in Europe is due to a range of historic and current drivers of change including nutrient enrichment, water availability, invasive alien species, accelerated successional change, and past and current management. It is thought that the UK’s dune area has been reduced to 30 % of that present in 1900, and in England the losses are closer to 50 %. Natural England manages nine National Nature Reserves (covering 954 ha) that have sand dune habitats of European importance. The project takes place across eight Natura 2000 network sites (SACs), which contain a total of 3 412 ha of all seven Habitats Directive Annex 1 sand dune habitat types present in England. The latest UK Article 17 report on the implementation of the Directive states that these habitats are in an overall ‘unfavourable-bad’ conservation status and that this has reached a critical point. The approaches outlined in the IPENS (LIFE11 NAT/UK/000384) project provide a basis for future work."
5,6508,Third Generation Environmentalism Ltd,983714.00,590228.00,
6,6240,Institute of Refrigeration,703461.00,422076.00,"Hydrofluorocarbons (HFCs) were developed by the chemical industry as substitutes for chloroflourocarbons (CFCs) and hydrochlorofluorocarbons (HCFCs), which are extremely damaging to the ozone layer and were eventually banned in 1992 by the Montreal Protocol."
7,6300,Animal and Plant Health Agency,1136663.00,681698.00,"Globally, invasive alien species (IAS) are considered to be one of the most significant causes of biodiversity loss, second only to habitat destruction. Target 5 (combat invasive alien species) of the EU Biodiversity Strategy recognises the severe impact that IAS have on biodiversity within Europe and the need for them to be managed more effectively. They represent a major threat to native plants and animals in Europe, causing damage worth billions of euros to the European economy every year. The Regulation 1143/2014 on invasive alien species entered into force on 1 January 2015. It provides for a set of measures to be taken across the EU in relation to invasive alien species included on a list of Invasive Alien Species of Union concern."
8,6340,Natural Resources Wales,5484422.00,4106623.00,"All active (Annex I Habitats Directive habitat code 7110*) and degraded (Annex I Habitats Directive habitat code 7120) raised bog habitats in the Natura 2000 network in Wales have unfavourable conservation status. Adverse hydrological regimes are the main factor, caused by past peat cutting, drainage and artificially steep surface gradients which promote water loss. Drainage has also caused extensive scrub development and the spread of problem species such as moor grass (<i>Molinia</i>), both of which also contribute to the unfavourable status. Lack of or poor grazing management is a further key issue."
9,6339,Durham County Council,6502762.00,3849735.00,"A significant and increasing proportion of upland blanket bog systems in northern England are no longer active (i.e. not forming new peat), due to a range of historic and current atmospheric and direct drivers of change including atmospheric pollution, climate change, burning, drainage, over-grazing and peat extraction. The North Pennines AONB contains the largest continuous blanket bog system in England. Within this, the project focus is on eight blanket bog habitat locations (totalling 65 810 ha) of which three are in designated Natura 2000 network sites (North Pennine Moors, Moor House Upper Teesdale, and Bowland Fells) and five are non-designated sites. According to Natural England, 90% of the priority for conservation, blanket bogs, habitat is in an unfavourable condition, with reference to the Habitats Directive, in the project area."
10,6028,Third Generation Environmentalism,492014.00,295114.00,
11,5789,Liverpool John Moores University,3135928.00,1777985.00,"In a world with increasing demand for food and energy, effective and long-lasting animal control is crucial. Animals are drawn to agricultural areas for food, but this leads to consequences for both animals and farmers. Chemical poisons are often used to control rodent populations in areas where they destroy crops, eat livestock feed and can transmit disease. However, studies have shown that anticoagulant rodenticides contribute to the deaths of a variety of mammal and bird species. The poison accumulates in the food chain, so for animals that prey on or scavenge rodents this repeated exposure may be fatal. Meanwhile, farmers continue to lose billions of euros each year as a result of damage to crops caused by animals. A virtual fence is a promising solution for containing animals in an area or keeping them out of a defined range."
12,5832,The Waste and Resources Action Programme,3201132.00,1920678.00,An estimated 89 million tonnes of food goes to waste in EU countries each year. Modelling suggests this could increase to over 120 million tonnes by 2020.
13,5866,Severn Rivers Trust,25991094.00,7778396.00,"Prior to the mid-19th Century, twaite shad (<i>Alosa fallax</i>) was an economically important species in the Severn river basin. Within three years of the installation of navigation weirs fishing ceased. In the UK’s third report  on the Habitats Directive, the UK Atlantic bioregion conservation status for Twaite shad is identified under Article 17 as  “unfavourable inadequate – improving” (due to recent fish passage improvements on other Natura 2000 network sites). The overall assessment is “inadequate” because of the impact on range and population of barriers to migration."
14,5938,The Royal Society for the Protection of Birds,2797653.00,1678592.00,"The black-tailed godwit (<i>Limosa limosa</i>) is categorised as “near threatened” in the IUCN Red List, and is one of the fourteen UK breeding birds that are of global conservation concern. It is classified as “vulnerable” in Europe and “endangered” in the EU – making it one of only 27 bird species that are “endangered” or “critically endangered” within the EU. Two subspecies of black-tailed godwit occur in the UK: <i>L .l. limosa</i> and <i>L. l. islandica</i>. This project focuses on the former, for which the conservation need is much greater."
15,5865,Natural England,7141352.00,5356014.00,"At 950 ha, the Natura 2000 network site, ‘Fenn’s, Whixall, Bettisfield, Wem and Cadney Mosses’, is Britain’s third largest lowland raised bog. Some 71% of the site is active raised bog, a priority habitat type listed in the Habitats Directive, and 25% is degraded raised bog. Much of the site is also classified as a national nature reserve."
16,5587,Third Generation Environmentalism,984000.00,590390.00,
17,5307,The Waste and Resources Action Programme,3539877.00,2123926.00,"The linear production and consumption model of the EU clothing sector leads to high environmental impacts, for example, in terms of carbon emissions and water resources. A report for the EU27 in 2009 revealed that 9.387 billion tonnes of textiles waste is either landfilled or incinerated. In the UK, textiles disposal is the highest by tonnage across the current EU28 countries, and it represents the fifth-biggest environmental footprint of any UK industry. The UK Defra Waste Strategy (2007) showed the importance of carbon savings from textile reuse and recycling compared to incineration. The global carbon footprint of UK clothing consumption alone is 38 million tonnes, or 1.5 tonnes of CO2 equivalent per household. Extrapolated across the EU, this is around 317 million tonnes of CO2 eq."
