,area_code,area_name,area_type,postcode,project_id
0,UK9014111,Elenydd - Mallaen,SPA,SY25 6ET,6690
1,UK0012946,Eryri/ Snowdonia,SCI,LL24 0EU,6690
2,UK0014789,Coedydd Derw a Safleoedd Ystlumod Meirion/ Meirionnydd Oakwoods and Bat Sites,SCI,LL40 2HW,6690
3,UK0030117,Coed Cwm Einion,SCI,SY20 8TE,6690
4,UK0030128,Cwm Doethie - Mynydd Mallaen,SCI,SA20 0PN,6690
5,UK0030145,Coetiroedd Cwm Elan/ Elan Valley Woodlands,SCI,LD6 5HR,6690
6,UK0012566,Kenfig/ Cynffig,SCI,CF33 4PT,6689
7,UK0020019,Carmarthen Bay Dunes/ Twyni Bae Caerfyrddin,SCI,SA33 4RS,6689
8,UK0020021,Y Twyni o Abermenai i Aberffraw/ Abermenai to Aberffraw Dunes,SCI,LL61 6SG,6689
9,UK0030049,Morfa Harlech a Morfa Dyffryn,SCI,LL46 2GY,6689
10,UK9001131,Pentland Firth Islands,SPA,KW17 2RN,6688
11,UK9002101,West Westray,SPA,KW17 2DW,6688
12,UK9002111,Papa Westray (North Hill and Holm),SPA,KW17 2BU,6688
13,UK9002121,Marwick Head,SPA,KW17 2ND,6688
14,UK9002141,Hoy,SPA,KW16 3NJ,6688
15,UK9002151,Copinsay,SPA,KW17 2QJ,6688
16,UK9002181,Sule Skerry and Sule Stack,SPA,N/A,6688
17,UK9002311,Orkney Mainland Moors,SPA,KW17 2LA,6688
18,UK9002331,East Sanday Coast,SPA,KW17 2BB,6688
19,UK9002371,Rousay,SPA,KW17 2PS,6688
20,UK9002381,Auskerry,SPA,KW17 2AU,6688
21,UK9002431,Calf of Eday,SPA,KW17 2AB,6688
22,UK9002891,Switha,SPA,KW16 3PQ,6688
23,UK0012791,Hoy,SCI,KW16 3NJ,6688
24,UK0013589,Stromness Heaths and Coast,SCI,KW16 3HU,6688
25,UK0014749,Loch of Stenness,SCI,KW16 3JX,6688
26,UK0017096,Faray and Holm of Faray,SCI,KW17 2DE,6688
27,UK0030069,Sanday,SCI,KW17 2BP,6688
28,UK0030193,Loch of Isbister,SCI,KW17 2NA,6688
29,UK9010101,Dorset Heathlands,SPA,BH20 5DE,6812
30,UK0012559,Penhale Dunes,SCI,TR8 5PU,6812
31,UK0012570,Braunton Burrows,SCI,EX33 2NX,6812
32,UK0013025,Solway Firth,SCI,DG12 5PL,6812
33,UK0013027,Morecambe Bay,SCI,LA11 7LT,6812
34,UK0013031,Drigg Coast,SCI,CA18 1SG,6812
35,UK0013076,Sefton Coast,SCI,L37 1LB,6812
36,UK0030270,Saltfleetby-Theddlethorpe Dunes and Gibraltar Point,SCI,LN12 1PQ,6812
