"NHS Hospital and Community Health Services (HCHS): HCHS Doctors by ethnicity, in NHS Trusts excluding ambulance trusts, as at 31 December 2009 to 31 December 2014, and 31 December 2016, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,As at 31 December 2016,,,,,,,,,,,As at 31 December 2014,,,,,,,,,,,As at 31 December 2013,,,,,,,,,,,As at 31 December 2012,,,,,,,,,,,As at 31 December 2011,,,,,,,,,,,As at 31 December 2010,,,,,,,,,,,As at 31 December 2009,,,,,,,,,
HEE region code,Org name,Org code,All ethnicities,Any Other Ethnic Group,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Discontinued codes,Not stated,Unknown,,All ethnicities,Any Other Ethnic Group,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Discontinued codes,Not stated,Unknown,,All ethnicities,Any Other Ethnic Group,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Discontinued codes,Not stated,Unknown,,All ethnicities,Any Other Ethnic Group,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Discontinued codes,Not stated,Unknown,,All ethnicities,Any Other Ethnic Group,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Discontinued codes,Not stated,Unknown,,All ethnicities,Any Other Ethnic Group,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Discontinued codes,Not stated,Unknown,,All ethnicities,Any Other Ethnic Group,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Discontinued codes,Not stated,Unknown
England,,,"112,104","4,101","29,363","4,012","2,561","3,066","60,075",38,"6,628","2,260",,"109,467","3,917","28,494","3,741","2,396","2,809","59,999",47,"6,099","1,965",,"107,519","3,876","28,096","3,683","2,372","2,707","58,845",58,"5,735","2,147",,"106,411","3,883","28,278","3,687","2,315","2,528","58,359",68,"5,654","1,639",,"105,209","3,914","27,946","3,604","2,192","2,443","57,584",90,"5,904","1,532",,"103,847","4,014","27,862","3,524","2,141","2,377","56,426",146,"5,575","1,782",,"102,491","3,929","27,465","3,485","2,012","2,230","55,312",254,"5,540","2,264"
YDF21,Health Education East Midlands,,"7,762",330,"2,646",355,221,205,"3,483",-,415,107,,"7,450",280,"2,399",273,192,174,"3,608",-,473,51,,"7,369",251,"2,332",269,176,177,"3,613",-,483,68,,"7,247",245,"2,330",280,168,149,"3,574",-,415,86,,"7,040",231,"2,205",274,155,130,"3,407",-,592,46,,"6,942",230,"2,102",246,154,119,"3,362",-,352,377,,"6,915",210,"2,010",220,136,138,"3,330",-,358,513
,Chesterfield Royal Hospital NHS Foundation Trust,RFS,385,15,90,15,11,7,241,-,6,-,,346,10,95,12,5,7,213,-,4,-,,359,8,90,10,7,11,226,-,7,-,,347,11,85,8,5,7,229,-,2,-,,336,10,80,12,6,7,213,-,8,-,,336,11,78,10,5,7,215,-,10,-,,313,7,87,10,2,7,200,-,-,-
,Derby City PCT,5N7,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,,35,-,-,-,-,-,-,-,8,1,,35,-,-,-,-,-,-,-,7,1
,Derby Teaching Hospitals NHS Foundation Trust,RTG,892,42,256,35,23,20,488,-,27,1,,847,25,209,17,29,24,512,-,30,1,,797,22,196,24,27,13,482,-,32,1,,747,28,204,18,20,10,420,-,46,1,,736,31,211,22,21,7,383,-,58,3,,710,22,189,24,23,3,393,-,53,3,,699,19,201,20,25,7,373,-,52,2
,Derbyshire Community Health Services NHS Foundation Trust,RY8,66,1,12,2,2,1,44,-,1,3,,70,1,10,3,1,1,50,-,2,2,,100,1,15,4,2,1,73,-,3,1,,100,1,13,2,2,1,76,-,4,1,,109,2,14,3,1,1,81,-,6,1,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Derbyshire County PCT,5N6,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,13,-,-,-,-,-,-,-,-,-,,19,-,-,-,-,-,-,-,-,-,,68,2,5,1,1,-,56,-,3,-,,94,2,8,1,1,-,77,-,4,1
,Derbyshire Healthcare NHS Foundation Trust,RXM,131,5,46,3,1,2,58,-,13,3,,145,3,50,4,-,1,57,-,30,-,,141,3,45,2,-,1,60,-,24,6,,143,2,51,3,-,1,58,-,27,1,,134,2,41,4,-,1,52,-,34,-,,100,-,30,3,-,1,41,-,25,-,,104,1,29,2,1,2,37,-,32,-
,Kettering General Hospital NHS Foundation Trust,RNQ,419,21,197,21,7,15,140,-,12,6,,378,9,183,12,12,12,135,-,12,3,,386,7,168,16,5,17,149,-,15,9,,369,6,167,16,5,14,132,-,10,19,,355,6,171,14,6,9,124,-,18,7,,342,8,156,12,2,9,126,-,15,14,,332,8,159,15,5,8,111,-,17,9
,Leicester City PCT,5PC,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,4,-,-,-,-,-,-,-,-,-,,24,-,-,-,-,-,-,-,1,-,,31,-,-,-,-,-,-,-,1,-,,37,-,-,-,-,-,-,-,2,-
,Leicestershire County and Rutland PCT,5PA,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,7,-,-,-,-,-,-,-,-,-,,10,-,-,-,-,-,-,-,-,-,,46,-,-,-,-,-,-,-,2,1,,49,-,-,-,-,-,-,-,2,-
,Leicestershire Partnership NHS Trust,RT5,216,8,121,6,-,5,73,-,2,1,,222,6,107,6,-,5,89,-,6,3,,212,6,93,8,-,2,102,-,1,-,,220,8,104,7,-,2,95,-,4,-,,186,5,87,2,-,2,84,-,5,1,,200,7,90,4,1,4,85,-,8,1,,202,6,89,3,1,1,96,-,6,-
,Lincolnshire Community Health Services NHS Trust,RY5,19,-,-,-,-,-,-,-,1,-,,25,-,-,-,-,-,-,-,-,-,,34,-,-,-,-,-,-,-,1,-,,24,-,-,-,-,-,-,-,1,-,,31,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
,Lincolnshire Partnership NHS Foundation Trust,RP7,75,5,33,5,-,3,20,-,9,-,,84,4,29,7,-,4,27,-,13,-,,88,4,36,8,1,4,25,-,10,-,,83,4,29,9,-,4,24,-,13,-,,82,3,24,6,-,3,25,-,21,-,,82,3,23,5,-,3,28,-,20,-,,76,3,25,3,-,3,23,-,19,-
,Lincolnshire Teaching PCT,5N9,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,20,-,-,-,-,-,-,-,1,-,,24,-,-,-,-,-,-,-,1,-,,44,-,-,-,-,-,-,-,2,-,,46,-,-,-,-,-,-,-,6,-
