"NHS Hospital & Community Health Service (HCHS) workforce statistics: All staff by nationality and HEE region in NHS Trusts and CCGs in England, 31 March 2016 to 31 March 2017, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,March 2016,,,,,,,,,,,,,,,March 2017,,,,,,,,,,,,,
,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All nationalities,,"1,164,471","89,750","104,175","87,282","71,808","72,684","184,616","53,201","60,981","93,408","38,631","55,991","128,660","124,200",,"1,187,125","93,070","107,273","88,054","73,945","72,763","188,424","54,023","62,471","96,111","39,035","56,101","129,988","126,727"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,"944,817","77,328","77,086","66,300","53,160","67,768","165,502","32,216","43,202","73,465","22,917","48,069","110,602","107,852",,"969,354","82,340","79,734","67,472","54,664","67,856","168,893","33,777","44,057","76,716","23,677","47,910","112,593","110,271"
,British,"944,817","77,328","77,086","66,300","53,160","67,768","165,502","32,216","43,202","73,465","22,917","48,069","110,602","107,852",,"968,244","82,318","79,705","67,423","54,607","67,829","168,759","33,765","44,026","76,213","23,663","47,803","112,510","110,227"
,English,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,841,9,15,36,36,16,79,3,18,450,4,88,60,27
,Northern Irish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,24,2,4,1,2,2,5,1,-,3,-,3,1,-
,Scottish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,119,5,6,6,12,7,25,5,5,23,3,8,4,10
,Welsh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,136,6,4,7,8,2,27,3,8,27,7,9,20,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,,"57,604","2,837","6,816","6,138","7,811","1,144","5,272","5,143","6,070","4,105","2,743","3,374","3,337","2,866",,"61,934","3,213","7,253","6,524","8,292","1,285","5,579","5,460","6,560","4,522","3,071","3,734","3,455","3,045"
,Austrian,322,6,25,25,83,4,24,27,57,12,7,14,22,18,,335,9,31,25,80,5,26,28,55,15,10,15,19,18
