name_in_dataset,simple_name
001 Generic productive investment in SMEs,Business and Jobs
"012 Other renewable energy (including hydroelectric, geothermal,",Environment
013 Energy efficiency renovation of public infrastructure demons,Environment
014 Energy efficiency renovation of existing housing stock,Environment
015 Intelligent Energy Distribution Systems at medium and low,Environment
025 Railways (TEN-T comprehensive),Transport
033 TEN-T Reconstructed or improved road,Transport
036 Multimodal transport,Transport
046 ICT: High-Speed broadband network,Technology
"056 investment in infrastructure, capacities and equipment in SMEs directly linked to research and innovation activities",Business and Jobs
058 Research and innovation infrastructures (public),Business and Jobs
060 Research and innovation activities in public research centre,Business and Jobs
062 Technology transfer and university-enterprise cooperation,Education
063 cluster support and business networks primarily benefiting SMEs,Business and Jobs
"064 - Research Innovation Processes in SMEs (including voucher schemes, process, design, service and social)",Business and Jobs
"065 Research and innovation infrastructure, processes, technology transfer and cooperation in enterprises focusing on the low carbon economy and on resilience to climate change",Environment
066 Advanced support services for SMEs and groups of SMEs,Business and Jobs
"067 SME business development, support to entrepreneurship",Business and Jobs
068 Energy efficiency and demonstration projects in SMEs,Environment
069 Support to environmentally-friendly production processes,Environment
072 – business infrastructure for SMEs (including industrial parks and sites),Business and Jobs
073 Support to social enterprises (SMEs),Business and Jobs
082 ICT Services and applications for SMEs,Technology
"085 Protection and enhancement biodiversity, nature protection",Environment
087 Adaptation to climate change measures and prevention of climate change,Environment
089 Rehabilitation of industrial sites and contaminated land,Environment
097 Community led local development initiatives in urban and rural,Business and Jobs
"102 Access to employment for job-seekers and inactive people including the long term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility",Business and Jobs
"109 Active inclusion, including with a view to promoting equal opportunities and active particpation, and improving employability",Business and Jobs
"103 Sustainable integration into the labour market of young people in particular those not in employment, education or training including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee.",Business and Jobs
114 Community-led local development initiatives,Business and Jobs
"117 Enhancing equal access to lifelong learning for all age groups in formal, non-formal and informal settings, upgrading the knowledge, skills and competences of the workforce, and promoting flexible learning pathways including through career guidance and validation of acquired competences",Education
"118 Improving the labour market relevance of education and training systems, facilitating the transition from education to work, and strengthening vocational education and training systems and their quality, including through mechanisms for skills anticipation, adaptation of curricula and the establishment and development of work-based learning systems, including dual learning systems and apprenticeship schemes",Education
"121 Preparation, implementation, monitoring and inspection",
122 Evaluation and studies,Research
123 Information and communication,Technology
